"FIPS_NHL","FIPS","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"H24021","24021","2.48907958495391","2.1021376842174","2.4499496121487","2.73795070548805","1.84196223934122","1.75688658812474","1.66298635499328","2.93397348521869","2.48077795478412","1.72122056310998","1.41331098940392","2.49908059500246","2.17410969639887"
"H24023","24023","2.2777095785087","1.98589486300546","2.49734332429817","2.84729927700977","1.95184117541513","1.90369472701721","1.70764398217645","2.82603822456291","2.26856998324785","1.76305151267972","1.45530247254111","2.48436046555021","2.16406246550106"
"H42013","42013","2.55349452729566","2.15668843166751","2.39511200376301","2.80454461234199","1.93645152934996","1.7280024600059","1.77548059506186","2.972666165716","2.28963242142982","1.89644607133636","1.56720428132968","2.68153313419231","2.22977135279084"
"H42027","42027","2.66870568799086","2.22676000827029","2.32658404006303","2.69018945229086","1.89639711674231","1.72609021306319","1.80268953666046","3.01681815419381","2.31745399304825","1.81523227087925","1.6734894385486","2.79324702934428","2.2461380784246"
"H42043","42043","2.66486968546627","2.19962103826829","2.38320417736294","2.67335779857034","1.82924890885022","1.64793814905153","1.76542399458423","2.92969775401212","2.39015982591813","1.73518721044985","1.63312028768093","2.70435292171979","2.21301514599455"
"H42079","42079","2.79039037810321","2.34593178329605","2.26268064149821","2.68210024665363","1.89079978942459","1.70689128427634","1.80325526391724","3.03815413419943","2.29229092839702","1.80955283206743","1.68052881345168","2.7855685375694","2.25734538607119"
"H42113","42113","2.79793277149499","2.34681672133799","2.27086877707107","2.65787213667625","1.88887367765972","1.72137464609913","1.80192836090219","3.05828771466138","2.27803066057609","1.8248689395116","1.69591514097073","2.76744009678543","2.25918413697888"
"H42115","42115","2.86557438292831","2.45440312955094","2.20653050053089","2.74711435928557","1.94422290506266","1.70130386865598","1.85142301334593","3.01067887871697","2.23414455001787","1.77895320325175","1.66022732796164","2.96127815348461","2.28465452273276"
"H42117","42117","2.81153434614889","2.25545751523334","2.24110033134392","2.7064447225831","1.96820173806891","1.78782104843689","1.84633155475603","3.07930433319155","2.18535799524894","1.89344758656086","1.7136907394898","2.8938573171011","2.28187910234695"
"H42119","42119","2.69407972778916","2.24045064702507","2.31919908721854","2.68456120769551","1.89299305668053","1.72298435919783","1.80197302396099","3.01915041319281","2.31092785412848","1.81469595799629","1.67685822782177","2.78802591627998","2.24715828991558"
"H42131","42131","2.80880210881998","2.37165999652032","2.2447719539495","2.69049278949967","1.90278262830207","1.71398844973934","1.80875644011887","3.04704738761713","2.27837747647395","1.81823411343779","1.68671563610675","2.81343090845847","2.26542165742032"
"H51003","51003","2.18868685517572","1.91836622789579","2.36574817344983","2.66731481232707","1.90954782479682","1.99254870152379","1.61791099191516","2.68399084064234","2.30261616693332","1.62410560147144","1.29521232534452","2.29358641175724","2.07163624443609"
