"FIPS_NHL","FIPS","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"H24021","24021","2.05703183863444","2.34748253910323","3.21011267865073","2.63382125252556","2.72274665735775","2.69344955807349","3.12015174255407","2.65603166255269","2.53110185732463","2.34670044764605","2.00158530785052","1.84648701735046","2.51389187996864"
"H24023","24023","2.1313310806556","2.30768969021013","3.21488242126179","2.54494605753177","2.71527213585303","2.62585249258974","2.97888588141113","2.7110339469363","2.47654563443935","2.32689577080112","1.9004694626116","1.79057752984681","2.47703184201236"
"H42013","42013","2.394464124388","2.6820500115655","3.48431546293211","2.67056964656048","2.7921779897594","2.6430424548334","3.23882643098965","2.80045399200349","2.66092523001642","2.46863024443899","2.03525153310853","1.95942570281754","2.65251106861779"
"H42027","42027","2.38949795749474","2.84345936162557","3.61433156894337","2.84821209036024","2.7967599478242","2.66337097777902","3.19554376938825","2.73410779636023","2.66147017651128","2.43228207114475","2.02773776685939","2.05575641096282","2.68854415793782"
"H42043","42043","2.21600796519287","2.55253255010162","3.29295293784741","2.7366214544481","2.7147023239414","2.70334194910132","3.11652960136758","2.7236408910916","2.62407280293105","2.42085049499632","2.06310887393271","1.9870308923921","2.59594939477867"
"H42079","42079","2.30533893451139","2.85682507950053","3.72972690787263","3.06203563786583","2.88007392047908","2.63085164929955","3.12099212125939","2.75426421576462","2.67776533106608","2.41692235501606","2.05594110007458","2.04944361225401","2.71168173874698"
"H42113","42113","2.34016262051736","2.890491683861","3.77497671846465","3.06597421020348","2.88816955358049","2.61637876130724","3.12582020032707","2.76715553264892","2.68127699749784","2.42937673492177","2.03834217340621","2.06364107981536","2.72348052221261"
"H42115","42115","2.29430674103173","2.93878002231868","3.94468498123221","3.25618967020329","2.94632642410937","2.65843353065864","3.13817978294336","2.72958611026358","2.71829719398264","2.37581424374417","2.10425023495338","2.05757288487314","2.76353515169285"
"H42117","42117","2.55514549408735","3.16711779419992","4.09142258514667","3.08009263425472","2.9060501696383","2.60438664721708","3.21381147013149","2.73623639753354","2.69056413148656","2.45885065483384","2.01268901480372","2.09567162034828","2.80100321780679"
"H42119","42119","2.38025255839331","2.84462037226096","3.63408604966924","2.8758863803163","2.80635564756547","2.65733857946859","3.18214063340997","2.73771900842605","2.66298938026234","2.43357926273154","2.0296983528695","2.05368602267563","2.69152935400408"
"H42131","42131","2.31443147165682","2.9031569012361","3.79566448263799","3.11067212244613","2.90255383159901","2.6224563734232","3.12637068924569","2.7534985990554","2.68785924182664","2.41143457975228","2.05653400501147","2.05764835222256","2.72852338750944"
"H51003","51003","1.77942181003458","1.81847193147714","3.02612554711483","2.51751215704423","2.72295191284515","2.68586151463501","2.80443745487721","2.53749542528478","2.29014471495804","2.11691607973156","1.82901750788242","1.64961100471783","2.31483058838356"
"H51009","51009","1.65254749334481","1.68504434609492","2.94805513683379","2.44422607194237","2.70775644210469","2.66779779330195","2.68599870842637","2.45238760172163","2.21369922974164","2.05756766147358","1.80418380865642","1.61811824742357","2.24478187842215"
"H51015","51015","1.73035211949579","1.76117237552453","2.99083516378208","2.48197777790497","2.71433036128199","2.67111759640696","2.7527221163128","2.50248395768705","2.26090054954687","2.09301562012463","1.81611490828682","1.63997239266022","2.28458291158456"
"H51023","51023","1.54689972171218","1.59627444182868","2.89567945097285","2.39935037819569","2.69227179383661","2.63720951082677","2.60832611130049","2.40046246819605","2.14884150572476","2.02227107773539","1.78671748601673","1.58961174057176","2.1936596405765"
"H51045","51045","1.58031399706087","1.55587501590189","2.84588634701051","2.37350153188662","2.6295510487304","2.53153440504038","2.59903212742614","2.42328800347463","2.14687098160111","2.01744712524093","1.78812004437545","1.6122745052586","2.17530792775063"
"H51079","51079","1.82364954907064","1.88372417373408","3.06935191719307","2.55535477216855","2.73246916253391","2.69745518442778","2.85838794944011","2.57649898828894","2.31700629103182","2.14817659022092","1.84316716683582","1.65810510169684","2.34694557055354"
"H51113","51113","1.85809142660032","1.93632148291978","3.09906639647247","2.57632821380819","2.73390231295967","2.69803340945498","2.89118022901139","2.59958407633372","2.33724669890183","2.17314952099016","1.85952169821949","1.66688035754273","2.36910881860123"
"H51125","51125","1.70693215664181","1.7338218880851","2.97440647341244","2.47129442826235","2.7120377325824","2.67514559053599","2.73104376960422","2.48359171189504","2.24536994723428","2.07735511825597","1.81409892129823","1.63120045173545","2.27135818246194"
"H51139","51139","1.86832464051618","1.95813224116497","3.1075320636264","2.57996848169992","2.73775217155335","2.69684473938109","2.90219731107755","2.60755684573534","2.34940777421507","2.18222925880532","1.8622229459153","1.6766210926835","2.37739913053117"
"H51157","51157","1.90084054391294","2.01335895721806","3.12725733471311","2.59082108674844","2.73498009111779","2.69569923296646","2.92538069755243","2.61653685843419","2.37215381845151","2.20271069470283","1.88651321285574","1.69119860605592","2.39645426122745"
"H51165","51165","1.84533930654248","1.90169754160179","3.07053703486826","2.53718202675998","2.72683806691312","2.6653163494296","2.85731007170006","2.5879828503071","2.3346817351636","2.16435071885421","1.8340991893852","1.67944877465368","2.35039863884826"
"H54023","54023","2.09042918902013","2.25195305064687","3.19566102846608","2.54549029809018","2.71917620848686","2.62659312506203","2.96558531013234","2.69632384537112","2.46339736772088","2.30628928908796","1.89091690968858","1.78039000193869","2.46101713530931"
"H54031","54031","2.00214006597159","2.16667110905431","3.17638817268891","2.58011351215623","2.74450390468374","2.66025037290953","2.9665864027636","2.67188018252288","2.44774286783514","2.26657829617365","1.89114124640614","1.75858877640305","2.4443820757974"
"H54057","54057","2.12122523972382","2.33042431524622","3.23055849641706","2.57527497959417","2.73442904903864","2.64734076220455","3.00582025252314","2.71573447373166","2.49609656080079","2.32909817728197","1.91809569202325","1.79809545049181","2.49184945408976"
"H54071","54071","1.94238059410831","1.98985417395063","3.0860445586072","2.49096501049761","2.70389125254225","2.57740413452157","2.86364504288892","2.62995307534349","2.38814700026589","2.22257073233152","1.82467789505159","1.73816400019961","2.37147478919238"
