"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00298,1.42e-05,2.28e-05,0.00398,0,0.000285
"2","Jan",0.000736,0,1.45e-06,0.00375,0,0.000206
"3","Feb",0.000897,0,1.92e-06,0.0031,0,0.000157
"4","Mar",0.00154,1.81e-05,4.56e-06,0.00527,0,0.000305
"5","Apr",0.00258,0.000747,1.08e-05,0.00365,0,0.000221
"6","May",0.00421,0.00199,2.5e-05,0.00418,0,0.000269
"7","Jun",0.00619,0.00337,4.78e-05,0.00484,0,4e-04
"8","Jul",0.00635,0.00307,5.07e-05,0.00473,0,0.000321
"9","Aug",0.00557,0.0019,4.22e-05,0.00436,0,0.000378
"10","Sep",0.00374,0.000231,2.33e-05,0.00458,0,0.000498
"11","Oct",0.00204,0,8.07e-06,0.00213,0,0.000149
"12","Nov",0.00113,0,3.37e-06,0.004,0,0.000309
"13","Dec",0.000695,0,1.32e-06,0.00318,0,0.000201
