"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00357,2.61e-05,3.09e-05,0.00541,0,0.000852
"2","Jan",0.00103,0,2.49e-06,0.00606,0,0.00079
"3","Feb",0.00124,0,3.19e-06,0.00483,0,0.000654
"4","Mar",0.00183,0,5.85e-06,0.00701,0,0.00101
"5","Apr",0.0029,0.000867,1.23e-05,0.00466,0,0.000599
"6","May",0.00458,0.00209,2.94e-05,0.00491,0,0.000577
"7","Jun",0.00688,0.00369,5.95e-05,0.00449,0,0.000578
"8","Jul",0.0078,0.0039,7.72e-05,0.00774,0,0.00195
"9","Aug",0.00628,0.00218,5.4e-05,0.0053,0,0.000855
"10","Sep",0.00487,0.000486,3.76e-05,0.00637,0,0.000981
"11","Oct",0.0027,0,1.33e-05,0.00486,0,0.00119
"12","Nov",0.00163,0,6.04e-06,0.00401,0,0.000475
"13","Dec",0.00102,0,2.54e-06,0.00453,0,0.00051
