"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00304,1.3e-05,2.29e-05,0.0049,0,0.00039
"2","Jan",0.000807,0,1.71e-06,0.00483,0,0.000288
"3","Feb",0.00096,0,2.25e-06,0.0051,0,0.00034
"4","Mar",0.0016,2.52e-05,4.88e-06,0.00663,0,0.000415
"5","Apr",0.00269,0.000776,1.18e-05,0.00534,0,0.000414
"6","May",0.0043,0.00203,2.58e-05,0.00568,0,0.000533
"7","Jun",0.00628,0.00337,4.85e-05,0.00477,0,0.000409
"8","Jul",0.0063,0.00321,4.95e-05,0.00579,0,0.000609
"9","Aug",0.00558,0.00203,4.17e-05,0.00497,0,0.000498
"10","Sep",0.00378,0.000232,2.33e-05,0.00442,0,0.000452
"11","Oct",0.00212,0,8.63e-06,0.00255,0,0.000142
"12","Nov",0.00116,0,3.5e-06,0.00457,0,0.000323
"13","Dec",0.000744,0,1.49e-06,0.0042,0,0.000238
