"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00305,1.02e-05,2.29e-05,0.00446,0,0.000344
"2","Jan",0.000825,0,1.75e-06,0.00448,0,0.000316
"3","Feb",0.00098,0,2.22e-06,0.00377,0,0.000197
"4","Mar",0.00163,2.14e-05,4.97e-06,0.00574,0,0.000371
"5","Apr",0.00271,0.000773,1.18e-05,0.00411,0,0.000296
"6","May",0.00425,0.00201,2.51e-05,0.0051,0,0.000354
"7","Jun",0.00629,0.00342,4.88e-05,0.00519,0,0.000457
"8","Jul",0.00628,0.00316,4.83e-05,0.00537,0,0.000449
"9","Aug",0.00564,0.00199,4.28e-05,0.00446,0,0.000367
"10","Sep",0.00379,0.000214,2.35e-05,0.00503,0,0.000578
"11","Oct",0.00213,0,8.66e-06,0.00222,0,0.00013
"12","Nov",0.00119,0,3.71e-06,0.0043,0,0.000375
"13","Dec",0.000757,0,1.53e-06,0.00368,0,0.000225
