"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00355,3.7e-05,3.1e-05,0.00541,0,0.000655
"2","Jan",0.000947,0,2.11e-06,0.00603,0,0.000829
"3","Feb",0.00116,0,2.82e-06,0.00533,0,0.000603
"4","Mar",0.00173,0,5.36e-06,0.00756,0,0.000859
"5","Apr",0.00278,0.000845,1.15e-05,0.00481,0,0.000456
"6","May",0.00467,0.00218,3.06e-05,0.00466,0,0.000365
"7","Jun",0.00684,0.00384,5.8e-05,0.00498,0,0.000479
"8","Jul",0.00792,0.00405,7.89e-05,0.00614,0,0.000732
"9","Aug",0.00633,0.00224,5.44e-05,0.00565,0,0.0011
"10","Sep",0.00487,0.000497,3.79e-05,0.00583,0,0.000763
"11","Oct",0.00264,0,1.28e-05,0.00416,0,0.00053
"12","Nov",0.00153,0,5.29e-06,0.00441,0,0.00046
"13","Dec",0.00098,0,2.34e-06,0.00536,0,0.000663
