"","data11.date","data11.flow","data15.flow","data14.flow","data16.flow"
"1",1991-01-01,9415.516,9635.3561,9612.4925,9635.3561
"2",1991-01-02,12054.7178,12180.2634,12136.7108,12186.7842
"3",1991-01-03,13024.7781,13043.7329,13016.2368,13064.1692
"4",1991-01-04,11724.3302,11696.904,11710.906,11725.2301
"5",1991-01-05,9561.1676,9514.1119,9551.3589,9541.6252
"6",1991-01-06,7793.743,7749.4201,7784.6829,7770.1819
"7",1991-01-07,6915.4007,6855.7636,6944.425,7017.5423
"8",1991-01-08,7044.4283,6901.5083,7242.9316,7647.0011
"9",1991-01-09,7926.3019,7594.9664,8421.7111,9388.3115
"10",1991-01-10,8971.5792,8413.2372,9677.9086,11045.8506
"11",1991-01-11,10789.7226,10068.4378,12481.9544,15135.2295
"12",1991-01-12,14961.8745,14115.7429,19993.0021,26501.8787
"13",1991-01-13,19327.6374,18599.8206,28209.4186,37949.4033
"14",1991-01-14,20865.424,20391.6304,29663.8171,37840.4611
"15",1991-01-15,19282.4627,18794.489,24758.3174,29391.304
"16",1991-01-16,17006.6633,16064.3758,19735.1142,22783.1133
"17",1991-01-17,16357.6397,14703.3983,17577.3219,20502.221
"18",1991-01-18,16587.647,14278.4879,16536.7664,19169.0115
"19",1991-01-19,16798.0598,14041.0575,15539.3419,17561.6306
"20",1991-01-20,15811.8615,13232.3727,14031.5421,15356.5596
"21",1991-01-21,13620.8447,11719.7726,12131.6958,12947.503
"22",1991-01-22,11453.6442,10103.0286,10399.8284,10971.6898
"23",1991-01-23,9810.3496,8759.9704,9044.2508,9513.2096
"24",1991-01-24,8601.7731,7757.9303,8050.693,8452.5691
"25",1991-01-25,7672.6777,7005.1659,7292.5409,7620.7028
"26",1991-01-26,6968.65,6436.2547,6702.2692,6960.7591
"27",1991-01-27,6451.8983,6008.2469,6242.8399,6448.5979
"28",1991-01-28,6065.1907,5677.7137,5878.6726,6048.7634
"29",1991-01-29,5773.5663,5420.0034,5593.8209,5743.3543
"30",1991-01-30,5541.5954,5209.374,5363.3962,5501.2194
"31",1991-01-31,5355.1704,5034.2189,5174.305,5307.3329
"32",1991-02-01,5220.6678,4895.1975,5020.9432,5155.4548
"33",1991-02-02,5155.8925,4801.1422,4903.4912,5045.6139
"34",1991-02-03,5152.2419,4746.6913,4812.6421,4965.3332
"35",1991-02-04,5153.9572,4701.1317,4726.169,4886.1482
"36",1991-02-05,5093.0373,4625.8054,4621.4314,4780.4757
"37",1991-02-06,4963.4536,4517.2695,4511.6479,4675.0696
"38",1991-02-07,4902.146,4482.7031,4520.1998,4732.4516
"39",1991-02-08,4915.8235,4514.9998,4611.1901,4887.2358
"40",1991-02-09,4842.4471,4458.9468,4586.151,4896.8389
"41",1991-02-10,4747.1919,4370.267,4510.6076,4842.5275
"42",1991-02-11,4677.1267,4302.6253,4445.896,4777.8816
"43",1991-02-12,4556.3381,4196.574,4330.228,4637.1582
"44",1991-02-13,4402.3431,4065.5847,4189.2329,4472.0528
"45",1991-02-14,4352.5602,4028.436,4162.8304,4464.4308
"46",1991-02-15,4414.7019,4084.6817,4243.0484,4603.862
"47",1991-02-16,4524.2692,4166.1992,4355.6455,4799.2549
"48",1991-02-17,4707.5806,4310.1428,4540.6907,5071.5883
"49",1991-02-18,4977.3994,4566.0049,4838.5294,5428.0668
"50",1991-02-19,5409.1651,5012.1718,5329.9223,5972.7122
"51",1991-02-20,5854.7404,5458.9333,5835.0813,6559.808
"52",1991-02-21,6298.1477,5824.2917,6287.5341,7132.4523
"53",1991-02-22,6877.1555,6250.4994,6798.4873,7719.8515
"54",1991-02-23,7220.2111,6496.0723,7046.8877,7871.2002
"55",1991-02-24,6976.4307,6299.825,6751.4897,7361.135
"56",1991-02-25,6329.3378,5784.7038,6117.625,6563.8472
"57",1991-02-26,5808.4873,5383.6006,5668.1511,6092.9171
"58",1991-02-27,5539.5421,5194.7677,5487.6647,5972.8044
"59",1991-02-28,5278.9966,4980.4741,5282.515,5812.5307
"60",1991-03-01,5022.4721,4746.3587,5049.1228,5591.4737
"61",1991-03-02,4951.5562,4678.9385,5000.6942,5604.0686
"62",1991-03-03,5515.6072,5164.5857,5676.7057,6894.813
"63",1991-03-04,8641.3917,7640.4892,9235.0483,13669.2997
"64",1991-03-05,15506.3441,12709.8965,16546.024,26449.5811
