"","lri.dat11.date","lri.dat11.flow.unit","lri.dat15.flow.unit","lri.dat14.flow.unit","lri.dat16.flow.unit"
"1",1991-01-01,1.02789762,1.055853792,1.05585379,1.05585379
"2",1991-01-02,0.90339743,0.925049061,0.92504765,0.92504536
"3",1991-01-03,0.83904897,0.857804134,0.8577383,0.85765619
"4",1991-01-04,0.79728116,0.814408602,0.81422198,0.81401753
"5",1991-01-05,0.76283451,0.778797224,0.77845234,0.77812077
"6",1991-01-06,0.73455086,0.749628848,0.74911755,0.74866967
"7",1991-01-07,1.23765885,1.218439934,1.27864457,1.37672704
"8",1991-01-08,1.15407154,1.150374754,1.21821026,1.31769747
"9",1991-01-09,1.02782973,1.037297093,1.10089569,1.23299584
"10",1991-01-10,0.93444117,0.911711673,0.95779581,1.03643799
"11",1991-01-11,4.30925735,3.665296615,4.84069943,6.79382421
"12",1991-01-12,6.38782636,4.813175754,6.32797045,9.44030508
"13",1991-01-13,3.14943307,2.542830462,3.11645809,4.36932629
"14",1991-01-14,1.98022389,1.737277172,2.00470453,2.54524736
"15",1991-01-15,1.52091967,1.412564812,1.5648725,1.82807217
"16",1991-01-16,2.86579029,2.342376043,3.09315888,4.08853518
"17",1991-01-17,2.2274265,1.87997212,2.36007572,2.89653048
"18",1991-01-18,1.63891113,1.473840893,1.71790278,1.99516309
"19",1991-01-19,1.39609321,1.297822465,1.45343944,1.63213149
"20",1991-01-20,1.3219241,1.233613362,1.3806589,1.57296746
"21",1991-01-21,1.25267375,1.176780654,1.30293665,1.4628181
"22",1991-01-22,1.19600738,1.125958992,1.24068989,1.38013451
"23",1991-01-23,1.15230353,1.084485905,1.19372003,1.32402706
"24",1991-01-24,1.11365228,1.046967213,1.15263777,1.27777621
"25",1991-01-25,1.07540123,1.009641479,1.11172496,1.23285161
"26",1991-01-26,1.04148897,0.976876411,1.07520235,1.19302156
"27",1991-01-27,1.00715899,0.943473755,1.03821625,1.15275778
"28",1991-01-28,0.97327873,0.910467317,1.00187841,1.11282347
"29",1991-01-29,0.93933362,0.877599384,0.96574664,1.07286817
"30",1991-01-30,0.90540224,0.844989273,0.92984455,1.03308524
"31",1991-01-31,0.87164384,0.812736289,0.89432942,0.99370797
"32",1991-02-01,0.83848451,0.781164823,0.85956027,0.95514155
"33",1991-02-02,0.80624273,0.750536884,0.82579981,0.91763693
"34",1991-02-03,0.77489988,0.720841481,0.79305655,0.88121688
"35",1991-02-04,0.74438367,0.692014106,0.76127264,0.8458466
"36",1991-02-05,0.71467128,0.664026437,0.73042158,0.81151393
"37",1991-02-06,0.68578756,0.636896836,0.70052665,0.77825063
"38",1991-02-07,1.00308649,0.944645729,1.0808701,1.26624062
"39",1991-02-08,1.1291702,1.06742371,1.22859557,1.48544852
"40",1991-02-09,0.87170902,0.820084706,0.91981164,1.07081636
"41",1991-02-10,0.77646913,0.729048209,0.80896268,0.92136554
"42",1991-02-11,0.72294036,0.677873626,0.74881631,0.84468481
"43",1991-02-12,0.68572082,0.642336798,0.70841422,0.79612187
"44",1991-02-13,0.65541632,0.613421284,0.67623481,0.75909463
"45",1991-02-14,0.81618663,0.766018097,0.85718438,0.96838362
"46",1991-02-15,0.70380373,0.659216824,0.73249054,0.82536416
"47",1991-02-16,0.66219911,0.619552028,0.68726671,0.77320967
"48",1991-02-17,0.63097163,0.589801125,0.6539811,0.73552132
"49",1991-02-18,0.6641956,0.61285409,0.6804209,0.76846196
"50",1991-02-19,0.82185558,0.765034975,0.84148825,0.94929348
"51",1991-02-20,0.73710423,0.684363343,0.76595838,0.87634962
"52",1991-02-21,0.68553322,0.63596228,0.71117035,0.809801
"53",1991-02-22,0.64996635,0.602490865,0.67402534,0.76690081
"54",1991-02-23,0.62068285,0.575006715,0.64342884,0.73194896
"55",1991-02-24,0.59415733,0.55012926,0.61570572,0.7005046
"56",1991-02-25,0.59547238,0.55489416,0.62126337,0.71310005
"57",1991-02-26,0.88221202,0.836515159,0.93895883,1.0800358
"58",1991-02-27,0.72383013,0.681534778,0.76056593,0.8673016
"59",1991-02-28,0.65678897,0.616680313,0.68596754,0.77813352
"60",1991-03-01,0.61596862,0.577426356,0.64142643,0.72601815
"61",1991-03-02,0.76968071,0.707237234,0.79951803,0.94291612
"62",1991-03-03,0.94012786,0.854539111,0.97347104,1.18476928
"63",1991-03-04,1.52283759,1.396174549,1.57671659,2.06191932
"64",1991-03-05,1.05469264,0.974095209,1.08595868,1.34827273
"65",1991-03-06,0.88861679,0.827634849,0.91185965,1.07251
"66",1991-03-07,0.81277372,0.759250675,0.83252593,0.95643801
"67",1991-03-08,0.76300095,0.713336449,0.78065815,0.88765321
"68",1991-03-09,0.72557091,0.67825515,0.74180794,0.84035735
"69",1991-03-10,0.69343598,0.647946736,0.70856818,0.8018024
"70",1991-03-11,0.66372736,0.619865267,0.67793932,0.76723608
"71",1991-03-12,0.63592994,0.593714972,0.64930983,0.73463471
"72",1991-03-13,0.91423565,0.811391015,0.9316436,1.08557603
"73",1991-03-14,1.1270036,1.004898946,1.13822605,1.33300885
"74",1991-03-15,0.92669528,0.842955343,0.9355861,1.08132102
"75",1991-03-16,0.82256014,0.756598227,0.82984734,0.95021283
"76",1991-03-17,0.76378115,0.705709128,0.77014861,0.88087522
"77",1991-03-18,1.83111321,1.484415137,1.85898022,2.9448863
"78",1991-03-19,1.29123,1.070530261,1.2884656,1.84551345
"79",1991-03-20,0.97789292,0.856742005,0.97972523,1.27944918
"80",1991-03-21,0.84159519,0.758058266,0.84470192,1.04741719
"81",1991-03-22,0.77286592,0.703436968,0.77587322,0.94360804
"82",1991-03-23,0.86131113,0.759299264,0.85839607,1.12585381
"83",1991-03-24,0.81156424,0.712537847,0.80134636,1.03429753
"84",1991-03-25,0.74877372,0.666316912,0.74524104,0.93795707
"85",1991-03-26,0.70604615,0.631212045,0.70482926,0.87896493
"86",1991-03-27,0.67475896,0.603859706,0.67415691,0.8388322
