"","data11.date","data11.flow","data15.flow","data14.flow","data16.flow"
"1",1991-01-01,299.536626,302.533834,302.533834,302.533834
"2",1991-01-02,236.309369,237.776683,237.77661,237.776522
"3",1991-01-03,206.026248,206.898231,206.892245,206.886424
"4",1991-01-04,189.270425,189.883569,189.847519,189.820965
"5",1991-01-05,177.708497,178.178331,178.081658,178.021263
"6",1991-01-06,168.416505,168.786806,168.614622,168.518342
"7",1991-01-07,211.230984,205.908287,214.98243,232.475131
"8",1991-01-08,259.31577,248.423195,265.162534,297.471314
"9",1991-01-09,237.785134,230.008347,241.733854,264.616628
"10",1991-01-10,208.206033,203.372617,211.159239,228.025079
"11",1991-01-11,433.338067,459.745391,658.61053,1044.117161
"12",1991-01-12,888.073354,921.382564,1231.755504,1833.287878
"13",1991-01-13,796.594059,773.675602,872.439243,1081.034765
"14",1991-01-14,460.853576,428.758564,467.990084,554.125236
"15",1991-01-15,338.941246,312.658498,334.478338,378.635363
"16",1991-01-16,391.409103,339.415581,384.726759,493.696103
"17",1991-01-17,443.178762,373.681025,435.595674,590.000377
"18",1991-01-18,353.810204,307.300269,342.143536,423.071751
"19",1991-01-19,287.737626,255.695329,275.561014,316.025676
"20",1991-01-20,259.241814,231.270785,246.612009,275.236702
"21",1991-01-21,244.358528,217.634972,231.593771,256.681386
"22",1991-01-22,231.115073,206.435679,219.003498,240.140762
"23",1991-01-23,219.392948,196.377737,208.045507,226.651896
"24",1991-01-24,209.059773,187.297546,198.381313,215.5547
"25",1991-01-25,199.289773,178.625025,189.180096,205.352042
"26",1991-01-26,190.139946,170.473839,180.482228,195.82416
"27",1991-01-27,181.56909,162.824435,172.290881,186.876874
"28",1991-01-28,173.180091,155.320276,164.247525,178.095375
"29",1991-01-29,165.015647,148.000647,156.420791,169.538001
"30",1991-01-30,157.072699,140.873143,148.808524,161.209589
"31",1991-01-31,149.360222,133.94028,141.402756,153.128475
"32",1991-02-01,141.896129,127.213791,134.225772,145.331458
"33",1991-02-02,134.726836,120.739377,127.318164,137.838814
"34",1991-02-03,127.858012,114.532293,120.697345,130.654053
"35",1991-02-04,121.264842,108.578869,114.354186,123.766699
"36",1991-02-05,114.927632,102.863593,108.274247,117.164516
"37",1991-02-06,109.217935,97.68042,103.063262,112.34141
"38",1991-02-07,126.761475,113.308683,123.140863,139.755418
"39",1991-02-08,158.173666,142.448722,158.14115,183.837707
"40",1991-02-09,154.928737,141.016779,155.037939,177.470451
"41",1991-02-10,132.743635,121.427955,131.382488,146.867362
"42",1991-02-11,118.418863,108.371763,116.354966,128.673315
"43",1991-02-12,109.177891,99.856031,107.38503,119.397835
"44",1991-02-13,102.949808,93.892985,102.559224,116.131448
"45",1991-02-14,111.202702,101.685685,111.627372,126.785645
"46",1991-02-15,117.5221,108.062286,117.447048,131.833667
"47",1991-02-16,108.321206,99.664599,107.681774,119.783579
"48",1991-02-17,100.391825,92.279319,99.475536,110.26543
"49",1991-02-18,97.927715,89.925242,97.130351,107.734826
"50",1991-02-19,108.134114,99.492262,106.952767,119.338595
"51",1991-02-20,115.397897,106.3878,114.23955,128.299996
"52",1991-02-21,109.065751,100.469495,108.780495,122.309775
"53",1991-02-22,101.498838,93.372624,101.475587,113.810263
"54",1991-02-23,95.090838,87.378517,95.083119,106.478246
"55",1991-02-24,89.549345,82.214639,89.50387,100.180104
"56",1991-02-25,88.125899,80.810666,88.367485,99.653173
"57",1991-02-26,115.599998,104.404462,117.24803,139.333387
"58",1991-02-27,136.388986,123.090311,139.034373,166.457013
"59",1991-02-28,119.823219,110.042111,121.808668,140.01069
"60",1991-03-01,105.32406,97.789282,106.682732,119.845047
"61",1991-03-02,121.105512,110.752608,122.457951,141.749925
"62",1991-03-03,175.173647,156.346108,178.543843,220.47156
"63",1991-03-04,304.522611,263.405105,312.15623,413.055885
"64",1991-03-05,336.980203,292.087287,343.402287,445.817526
"65",1991-03-06,230.299565,207.030789,232.577766,277.335417
"66",1991-03-07,179.085288,164.923539,180.301783,206.454944
"67",1991-03-08,155.066363,144.405866,155.828975,174.946863
"68",1991-03-09,141.308057,132.150731,141.817491,157.901808
"69",1991-03-10,131.940735,123.469353,132.280225,146.986066
"70",1991-03-11,124.433232,116.344241,124.637444,138.567593
"71",1991-03-12,117.785102,109.967373,117.867083,131.226475
"72",1991-03-13,129.203327,122.600682,132.636196,150.25588
"73",1991-03-14,156.176131,153.807566,168.235594,193.95487
"74",1991-03-15,161.048656,160.771247,175.41511,201.209055
"75",1991-03-16,147.271555,143.437512,155.070649,175.470447
"76",1991-03-17,136.15515,128.485347,138.277127,155.721255
"77",1991-03-18,186.32948,164.431959,185.587988,243.43613
"78",1991-03-19,228.504272,196.561459,225.506423,313.008746
"79",1991-03-20,188.051483,164.892067,183.89317,237.321352
"80",1991-03-21,155.629225,137.889667,151.630786,185.681443
"81",1991-03-22,146.957475,129.81779,143.381511,174.942249
"82",1991-03-23,184.492805,161.43411,182.18203,237.459475
"83",1991-03-24,217.90746,189.973121,216.338876,287.641009
"84",1991-03-25,194.117718,170.543859,191.890524,242.699054
"85",1991-03-26,164.411519,146.163323,161.891764,195.111154
"86",1991-03-27,147.184966,131.317081,144.579953,170.607929
"87",1991-03-28,136.346137,121.643537,133.762753,156.669912
