"","data11.date","data11.flow","data15.flow","data14.flow","data16.flow"
"1",1991-01-01,489.32558,490.62389,490.62389,490.62389
"2",1991-01-02,310.655508,310.98534,310.98534,310.98534
"3",1991-01-03,235.049127,235.04613,235.04613,235.04613
"4",1991-01-04,199.723347,199.58829,199.58818,199.58807
"5",1991-01-05,180.535765,180.35464,180.35364,180.35201
"6",1991-01-06,177.93452,175.85843,174.99938,175.51679
"7",1991-01-07,390.795122,398.39637,578.44261,714.44845
"8",1991-01-08,507.720059,537.75212,775.71855,930.97682
"9",1991-01-09,319.359566,340.15062,397.7692,421.95688
"10",1991-01-10,242.619379,242.80948,273.16098,301.56332
"11",1991-01-11,219.058015,255.38748,498.54633,947.56378
"12",1991-01-12,298.00973,393.9291,819.89918,1584.20828
"13",1991-01-13,437.094658,513.61629,733.92388,1014.48428
"14",1991-01-14,380.530307,409.15593,503.42439,573.99978
"15",1991-01-15,285.44241,294.08225,356.46496,406.1171
"16",1991-01-16,1117.173154,922.83719,956.31067,990.72748
"17",1991-01-17,1570.776402,1262.8732,1173.20885,1138.55879
"18",1991-01-18,757.485592,642.10167,559.323,506.10437
"19",1991-01-19,432.115049,385.50735,370.91228,352.04716
"20",1991-01-20,307.932019,287.24761,319.27934,318.07665
"21",1991-01-21,267.7222,256.1064,317.39136,320.23102
"22",1991-01-22,237.234133,231.95735,275.59901,271.90854
"23",1991-01-23,208.779792,206.30599,234.28636,230.99481
"24",1991-01-24,192.139627,189.83938,211.20334,208.35758
"25",1991-01-25,180.657198,178.33845,196.4016,193.5771
"26",1991-01-26,171.597324,169.21578,185.40119,182.70101
"27",1991-01-27,163.836656,161.45355,176.42387,174.1836
"28",1991-01-28,157.296033,155.22798,172.50608,173.61288
"29",1991-01-29,152.727812,150.57997,170.84592,175.05358
"30",1991-01-30,250.599293,214.12896,207.2885,216.03651
"31",1991-01-31,380.344346,291.39765,244.67951,258.37951
"32",1991-02-01,319.57723,250.60968,214.35347,223.56127
"33",1991-02-02,221.567475,189.41478,176.26334,179.74549
"34",1991-02-03,182.056927,161.87325,157.39177,158.82161
"35",1991-02-04,162.121559,147.15628,146.11594,146.73098
"36",1991-02-05,152.130266,137.7376,138.01591,138.30348
"37",1991-02-06,173.561671,148.13381,149.7709,158.0171
"38",1991-02-07,215.919768,181.18196,185.80502,205.9455
"39",1991-02-08,214.53501,187.49906,193.31441,211.29801
"40",1991-02-09,179.827887,160.95383,164.94913,174.45646
"41",1991-02-10,155.197244,139.58838,142.21746,147.38936
"42",1991-02-11,141.675707,127.61884,129.6562,133.07609
"43",1991-02-12,132.841979,119.77629,121.52206,124.42217
"44",1991-02-13,131.468418,118.60961,122.10435,129.26066
"45",1991-02-14,294.558003,270.91876,298.75994,353.44256
"46",1991-02-15,378.718137,351.22292,385.64576,452.58538
"47",1991-02-16,232.937014,215.93829,226.91626,249.2375
"48",1991-02-17,174.006504,161.24283,167.90339,181.33559
"49",1991-02-18,154.178376,146.00658,155.50602,172.04965
"50",1991-02-19,238.431372,226.7703,234.29298,259.5993
"51",1991-02-20,349.037859,316.02264,304.08633,319.73414
"52",1991-02-21,289.947616,258.39156,246.24004,252.94874
"53",1991-02-22,197.578371,183.19097,184.21433,193.49088
"54",1991-02-23,160.646494,151.42007,156.52862,166.17126
"55",1991-02-24,143.083988,136.0037,143.61918,156.55462
"56",1991-02-25,138.589786,131.71,143.51071,166.14262
"57",1991-02-26,165.921123,160.44848,187.72634,230.96285
"58",1991-02-27,172.460534,169.25942,202.68598,249.49492
"59",1991-02-28,142.516268,139.10818,160.71673,191.51687
"60",1991-03-01,134.196858,130.11499,145.00156,161.45562
"61",1991-03-02,349.560836,308.30218,350.44415,431.8817
"62",1991-03-03,633.802926,548.19786,633.92637,815.19415
"63",1991-03-04,1074.052107,921.31167,1129.58379,1501.55656
"64",1991-03-05,1008.582692,880.33015,1061.32637,1351.00796
"65",1991-03-06,437.659891,403.49276,444.41421,495.12783
"66",1991-03-07,345.905972,316.39018,349.73486,397.91673
"67",1991-03-08,293.306874,270.77948,294.08015,325.89844
"68",1991-03-09,219.61789,206.0625,219.17684,236.85096
"69",1991-03-10,186.857827,176.33982,187.37503,200.91766
"70",1991-03-11,170.211979,161.01953,171.4357,183.38981
"71",1991-03-12,160.058147,151.23148,160.19056,171.50248
"72",1991-03-13,168.384646,170.17337,209.07139,286.95083
"73",1991-03-14,181.288733,206.06635,290.74573,421.99989
"74",1991-03-15,180.173042,213.91467,283.77789,357.93807
"75",1991-03-16,203.404897,212.62843,240.07997,271.19293
"76",1991-03-17,285.950725,233.17785,231.35361,234.29424
"77",1991-03-18,527.771876,430.40164,448.8369,517.94737
"78",1991-03-19,621.270287,514.04657,557.5724,663.74424
"79",1991-03-20,411.52486,326.90712,348.42318,384.32416
"80",1991-03-21,293.429617,245.10482,262.11588,287.72851
"81",1991-03-22,433.662972,360.3612,426.24551,538.92057
"82",1991-03-23,1058.427242,889.76642,1115.95004,1511.25227
"83",1991-03-24,1161.744526,1015.70035,1220.84307,1541.31222
"84",1991-03-25,604.491167,551.3667,617.69736,700.0807
"85",1991-03-26,360.125966,327.55522,365.14937,427.18133
"86",1991-03-27,281.380862,251.17102,282.07026,327.83275
"87",1991-03-28,244.076946,216.68726,242.97722,274.01966
"88",1991-03-29,376.203405,323.05582,388.73343,496.88874
"89",1991-03-30,606.271991,530.69559,635.02822,795.87016
"90",1991-03-31,504.213877,462.53531,520.39935,594.89824
"91",1991-04-01,314.47472,291.4703,318.57518,355.94962
"92",1991-04-02,243.322008,225.96214,243.65064,267.65457
"93",1991-04-03,208.94319,194.58533,207.99594,226.17078
"94",1991-04-04,190.445303,177.51785,189.02788,204.6208
"95",1991-04-05,211.744433,196.84321,216.57716,247.22699
"96",1991-04-06,246.114671,228.51507,257.97392,305.06159
"97",1991-04-07,224.001677,208.68692,231.7192,266.39598
"98",1991-04-08,186.160522,173.8161,188.63537,209.57509
"99",1991-04-09,168.104039,156.83675,168.88623,185.52838
"100",1991-04-10,156.777217,146.19419,156.86396,171.40896
"101",1991-04-11,147.626934,137.5728,147.25141,160.26436
"102",1991-04-12,139.867691,130.24851,139.26631,151.3194
"103",1991-04-13,372.010227,341.94072,420.45115,555.67296
"104",1991-04-14,551.65086,512.55771,613.37027,778.86469
"105",1991-04-15,373.252758,353.13448,389.02591,440.58733
"106",1991-04-16,275.89798,260.83248,291.06684,338.9492
"107",1991-04-17,212.843625,201.2364,221.17209,250.97748
"108",1991-04-18,170.921452,161.37251,174.8395,193.99803
"109",1991-04-19,150.934559,142.20518,153.25734,168.59255
"110",1991-04-20,141.934143,133.52241,144.30413,160.41255
"111",1991-04-21,135.447053,127.3211,138.13718,155.92582
"112",1991-04-22,127.721358,119.99615,130.02693,146.9011
"113",1991-04-23,121.365346,113.94853,123.28125,138.66492
"114",1991-04-24,115.827481,108.68173,117.50128,131.70588
"115",1991-04-25,110.798183,103.90493,112.29619,125.63484
"116",1991-04-26,106.496777,99.75657,108.0597,121.27179
"117",1991-04-27,103.247525,96.49793,105.03292,118.6896
"118",1991-04-28,99.430956,92.83832,101.08371,114.08045
"119",1991-04-29,94.770184,88.49174,96.08269,107.73919
"120",1991-04-30,90.525116,84.41526,91.64104,102.51835
"121",1991-05-01,86.537481,80.52991,87.53292,97.94382
"122",1991-05-02,82.591164,76.65148,83.47872,93.57018
"123",1991-05-03,78.668241,72.77486,79.43714,89.25432
"124",1991-05-04,74.819101,68.9815,75.45025,84.97646
"125",1991-05-05,70.878168,65.08202,71.34448,80.58307
"126",1991-05-06,68.478628,62.42759,69.29244,79.02689
"127",1991-05-07,67.014016,60.71861,68.30551,78.60636
"128",1991-05-08,64.725537,58.62185,65.90171,75.52048
"129",1991-05-09,65.311285,58.62489,66.62286,77.76629
"130",1991-05-10,67.257526,59.59319,68.75755,82.13806
"131",1991-05-11,65.834847,58.41036,67.01324,78.82204
"132",1991-05-12,62.451932,55.70712,63.23657,72.64639
"133",1991-05-13,59.918704,53.4379,60.53312,69.1567
"134",1991-05-14,58.605696,52.33759,59.3056,68.82832
"135",1991-05-15,56.822828,50.93681,57.5765,67.98131
"136",1991-05-16,54.32135,48.47906,55.03887,64.78873
"137",1991-05-17,51.929109,46.00734,52.7583,61.89604
"138",1991-05-18,50.378289,44.70272,51.64881,62.4471
"139",1991-05-19,62.6075,52.9131,64.6141,79.38787
"140",1991-05-20,76.801422,63.39806,78.88679,94.36967
"141",1991-05-21,73.778693,63.39082,75.26737,87.24159
"142",1991-05-22,67.705647,60.37887,68.86623,78.23822
"143",1991-05-23,62.71417,56.70339,63.59015,71.80217
"144",1991-05-24,57.637328,51.9057,58.19535,66.04005
"145",1991-05-25,52.140442,46.57922,52.4504,60.18895
"146",1991-05-26,47.04383,42.58115,47.46455,54.33753
"147",1991-05-27,43.664471,40.38236,44.33515,49.63417
"148",1991-05-28,42.28766,39.30629,43.06278,47.45823
"149",1991-05-29,41.403208,38.51585,42.21834,46.34612
"150",1991-05-30,40.177123,37.3917,40.94834,44.86332
"151",1991-05-31,38.936166,36.22128,39.66205,43.43403
"152",1991-06-01,37.856403,35.17912,38.55052,42.40211
"153",1991-06-02,37.000877,34.27694,37.68406,41.6755
"154",1991-06-03,36.204692,33.46784,36.87274,40.78652
"155",1991-06-04,35.332995,32.74508,35.9662,39.7194
"156",1991-06-05,34.419178,32.06165,35.03447,38.59656
"157",1991-06-06,33.594407,31.41589,34.20528,37.51891
"158",1991-06-07,32.886948,30.79872,33.48403,36.57292
"159",1991-06-08,32.228299,30.19779,32.80854,35.76155
"160",1991-06-09,31.591806,29.60718,32.15423,35.02078
"161",1991-06-10,30.965674,29.02215,31.51002,34.30716
"162",1991-06-11,30.344926,28.44039,30.8711,33.6048
"163",1991-06-12,29.732705,27.86606,30.24098,32.91363
"164",1991-06-13,29.131742,27.30226,29.62263,32.23565
"165",1991-06-14,28.534498,26.74219,29.00827,31.56185
"166",1991-06-15,27.984663,26.21949,28.44459,30.97457
"167",1991-06-16,28.269356,26.31612,28.77046,31.90995
"168",1991-06-17,30.97678,27.96238,31.72026,37.16885
"169",1991-06-18,39.91808,34.66925,41.01132,50.55423
"170",1991-06-19,48.091022,41.54145,49.35109,60.75401
"171",1991-06-20,48.923411,42.25366,50.01613,61.45389
"172",1991-06-21,47.488002,40.43912,48.21282,60.11903
"173",1991-06-22,46.489122,38.49144,46.77643,59.67422
"174",1991-06-23,62.011413,50.86701,62.31163,86.21935
"175",1991-06-24,79.571749,67.22793,80.09524,113.35586
"176",1991-06-25,76.415902,66.31498,76.66246,102.54443
"177",1991-06-26,68.167789,59.0487,67.93476,86.52509
"178",1991-06-27,59.772625,50.54379,59.05757,75.19078
"179",1991-06-28,51.806958,42.35017,50.73317,66.40297
"180",1991-06-29,44.028719,35.9255,42.84077,58.41049
"181",1991-06-30,37.8373,32.25509,37.21107,50.6145
"182",1991-07-01,34.362467,30.2804,34.36976,43.66356
"183",1991-07-02,40.542034,35.29138,40.86898,50.23688
"184",1991-07-03,50.124133,42.45245,50.53122,62.37222
"185",1991-07-04,54.817787,45.28224,54.91789,67.65407
"186",1991-07-05,72.066158,59.52036,71.91667,102.18091
"187",1991-07-06,84.54304,71.55837,84.29653,126.17003
"188",1991-07-07,77.250389,66.07322,76.76898,104.60035
"189",1991-07-08,68.190532,57.08308,67.29274,86.51639
"190",1991-07-09,59.272693,47.61107,57.95633,74.22057
"191",1991-07-10,51.43609,39.70696,49.74023,65.11333
"192",1991-07-11,45.429007,35.27173,43.45563,59.17667
"193",1991-07-12,41.497849,33.32132,39.47782,55.65436
"194",1991-07-13,44.05363,36.43569,42.73734,59.80065
"195",1991-07-14,49.562982,41.97852,49.15151,66.65778
"196",1991-07-15,49.744624,42.21815,49.35321,65.69346
"197",1991-07-16,45.612057,38.10446,44.87677,60.30103
"198",1991-07-17,40.189433,33.74942,39.60369,53.57905
"199",1991-07-18,36.505244,31.38386,36.28486,47.9419
"200",1991-07-19,39.721969,33.84077,39.68742,50.5458
"201",1991-07-20,51.48097,42.84618,51.41795,67.35319
"202",1991-07-21,58.451384,48.5072,58.1503,78.37221
"203",1991-07-22,55.725805,46.76064,55.37675,71.73456
"204",1991-07-23,51.738869,43.48687,51.23246,63.14565
"205",1991-07-24,48.939074,40.54334,48.16094,58.4947
"206",1991-07-25,47.729007,38.67376,46.81589,59.01669
"207",1991-07-26,65.790735,47.7956,62.80935,110.96351
"208",1991-07-27,89.484942,62.19974,84.75663,160.99526
"209",1991-07-28,89.644648,65.77186,86.3094,137.01544
"210",1991-07-29,445.234875,188.98452,419.70498,936.08724
"211",1991-07-30,639.04369,294.39017,607.96444,1160.99364
"212",1991-07-31,291.996512,194.25807,285.02088,353.46116
"213",1991-08-01,181.342867,130.04468,177.33679,237.5953
"214",1991-08-02,129.995714,100.84136,127.72168,159.09291
"215",1991-08-03,105.319032,85.15947,103.54518,124.6417
"216",1991-08-04,91.614496,75.16184,89.91005,106.70883
"217",1991-08-05,83.00133,68.16762,81.25295,96.08215
"218",1991-08-06,76.200564,62.16703,74.30812,88.07296
"219",1991-08-07,87.532407,65.8327,84.64103,111.31317
"220",1991-08-08,101.886391,72.13851,97.92001,137.4281
"221",1991-08-09,611.590966,300.6981,619.43319,1053.36919
"222",1991-08-10,779.322983,440.58506,790.93066,1219.59805
"223",1991-08-11,273.339503,226.41742,273.06286,311.90926
"224",1991-08-12,186.008736,146.43427,186.25151,232.80507
"225",1991-08-13,134.989664,109.91157,134.74643,159.36906
"226",1991-08-14,111.102832,91.74157,110.53446,127.67763
"227",1991-08-15,98.443813,81.50553,97.66072,111.78363
"228",1991-08-16,89.922317,74.21195,88.97214,101.67262
"229",1991-08-17,82.793855,67.7538,81.62255,93.57668
"230",1991-08-18,76.350496,61.69962,74.9604,86.50085
"231",1991-08-19,71.315012,57.11611,69.85617,81.06242
"232",1991-08-20,68.519477,54.43037,67.02606,79.40486
"233",1991-08-21,66.358818,52.18531,64.78991,78.91963
"234",1991-08-22,63.395013,49.37818,61.80904,75.86362
"235",1991-08-23,59.587452,45.60089,57.84696,71.04174
"236",1991-08-24,54.755596,40.86,52.70758,65.14257
"237",1991-08-25,49.446297,36.17372,47.10041,58.89033
"238",1991-08-26,44.127379,32.96939,41.66961,52.70312
"239",1991-08-27,39.382275,31.27298,37.76843,47.05989
"240",1991-08-28,36.246851,30.09794,35.66245,43.09764
"241",1991-08-29,34.626802,29.17648,34.35791,40.98442
"242",1991-08-30,33.503,28.37258,33.33064,39.61036
"243",1991-08-31,32.474576,27.56949,32.33032,38.37751
"244",1991-09-01,31.479391,26.77949,31.33994,37.18936
"245",1991-09-02,30.555611,26.05619,30.41267,36.08289
"246",1991-09-03,29.705677,25.45459,29.55797,35.06004
"247",1991-09-04,28.912012,24.96877,28.76146,34.10471
"248",1991-09-05,28.923803,24.94212,28.91085,34.71739
"249",1991-09-06,30.622403,25.62262,30.81504,37.84908
"250",1991-09-07,32.43271,26.32483,32.68953,40.44364
"251",1991-09-08,32.180887,25.90673,32.20442,39.58355
"252",1991-09-09,29.798919,24.53081,29.63402,35.87785
"253",1991-09-10,27.362372,23.32589,27.24795,32.50661
"254",1991-09-11,26.025508,22.56854,25.94301,30.8004
"255",1991-09-12,25.117815,22.05581,25.08953,29.68652
"256",1991-09-13,24.40478,21.6481,24.4818,28.7846
"257",1991-09-14,23.912982,21.32589,24.13237,28.21622
"258",1991-09-15,23.484012,21.00611,23.77474,27.67617
"259",1991-09-16,23.009091,20.65241,23.29442,26.96512
"260",1991-09-17,22.601105,20.32455,22.88232,26.37824
"261",1991-09-18,22.228243,20.01117,22.50511,25.85773
"262",1991-09-19,24.736801,22.10368,25.20157,29.10909
"263",1991-09-20,28.577278,25.42436,29.25215,33.86668
"264",1991-09-21,29.423214,26.36992,30.05708,34.53722
"265",1991-09-22,28.622023,25.70399,29.11111,33.26556
"266",1991-09-23,26.922888,23.70899,27.11025,31.06537
"267",1991-09-24,24.525499,21.25848,24.48062,28.3047
"268",1991-09-25,22.412997,19.60816,22.44269,25.95918
"269",1991-09-26,21.126006,18.66849,21.30365,24.49951
"270",1991-09-27,20.337912,18.0525,20.57018,23.6239
"271",1991-09-28,19.756217,17.62226,20.00243,22.956
"272",1991-09-29,19.292114,17.29571,19.54363,22.38325
"273",1991-09-30,18.917894,17.01653,19.17312,21.89161
"274",1991-10-01,18.601451,16.76045,18.85545,21.48383
"275",1991-10-02,18.313256,16.51708,18.56384,21.12579
"276",1991-10-03,18.039996,16.28174,18.28626,20.79216
"277",1991-10-04,18.064195,16.07119,18.45063,21.31511
"278",1991-10-05,21.417643,17.65508,22.30485,26.92128
"279",1991-10-06,31.028962,23.17113,32.55267,39.85451
"280",1991-10-07,37.881438,27.7823,39.53176,47.2645
"281",1991-10-08,37.098402,28.08911,38.50308,44.815
"282",1991-10-09,35.264422,27.30419,36.48131,41.8764
"283",1991-10-10,33.506052,26.28059,34.59909,39.4792
"284",1991-10-11,31.957506,25.25091,32.95284,37.60616
"285",1991-10-12,31.016987,24.27261,31.74006,36.85064
"286",1991-10-13,31.415522,23.38197,31.88189,37.86483
