"","lri.dat11.date","lri.dat11.flow.unit","lri.dat15.flow.unit","lri.dat14.flow.unit","lri.dat16.flow.unit"
"1",1991-01-01,3.394678973,3.401956506,3.40195651,3.40195651
"2",1991-01-02,2.754357616,2.756724629,2.75672449,2.75672428
"3",1991-01-03,2.410102595,2.410291823,2.41027561,2.41025338
"4",1991-01-04,2.205803198,2.204952021,2.20480959,2.20469364
"5",1991-01-05,2.06382205,2.062381997,2.06190448,2.06149786
"6",1991-01-06,1.965249336,1.963326839,1.96232211,1.96159108
"7",1991-01-07,2.943329931,2.786334025,3.03089975,3.43029995
"8",1991-01-08,3.072978863,2.91646819,3.18918089,3.61508083
"9",1991-01-09,2.561060647,2.475555295,2.65598677,2.927476
"10",1991-01-10,2.290599706,2.232541986,2.37702825,2.55812666
"11",1991-01-11,5.100912456,5.266304519,9.88650689,13.97185218
"12",1991-01-12,10.078460017,9.671455562,12.18697237,15.90155112
"13",1991-01-13,6.709578696,6.163568026,7.10100073,8.84615678
"14",1991-01-14,4.636390373,4.307536416,4.73064031,5.60361773
"15",1991-01-15,3.649941398,3.419111275,3.59342896,4.06611529
"16",1991-01-16,5.781995391,4.868708869,5.7643498,7.4803295
"17",1991-01-17,5.195799433,4.393880796,5.13866906,6.49060397
"18",1991-01-18,3.896579446,3.427197723,3.80419967,4.50746485
"19",1991-01-19,3.248808851,2.923463772,3.12569785,3.53341271
"20",1991-01-20,3.079313494,2.796879254,2.93088316,3.25091145
"21",1991-01-21,2.85015644,2.61678123,2.70230889,2.9410016
"22",1991-01-22,2.642457076,2.441379335,2.49902313,2.68589878
"23",1991-01-23,2.496070309,2.313782705,2.35766991,2.51755393
"24",1991-01-24,2.380496262,2.210508968,2.24734629,2.39185825
"25",1991-01-25,2.277192803,2.116698277,2.14929432,2.28364087
"26",1991-01-26,2.191241114,2.037924843,2.06799636,2.19543282
"27",1991-01-27,2.107318546,1.960589911,1.98871152,2.11032331
"28",1991-01-28,2.02755985,1.886825644,1.91336443,2.02978452
"29",1991-01-29,1.950945814,1.815840001,1.84103712,1.95232364
"30",1991-01-30,1.876830434,1.746886225,1.77066906,1.87706248
"31",1991-01-31,1.804763856,1.679845919,1.70218496,1.80397629
"32",1991-02-01,1.735228031,1.615016774,1.63609529,1.73364347
"33",1991-02-02,1.668164517,1.552486774,1.57232057,1.66580828
"34",1991-02-03,1.60335771,1.492112954,1.51077254,1.60035464
"35",1991-02-04,1.540700178,1.433805945,1.45137226,1.5372101
"36",1991-02-05,1.480185886,1.377516938,1.39405141,1.47628847
"37",1991-02-06,1.453528671,1.351563649,1.38296305,1.48314751
"38",1991-02-07,1.92341696,1.759419349,1.88734365,2.12378597
"39",1991-02-08,2.083435299,1.886974385,2.05221761,2.33481302
"40",1991-02-09,1.773508598,1.631928741,1.73200716,1.92131902
"41",1991-02-10,1.600760051,1.48681966,1.55569106,1.69768115
"42",1991-02-11,1.490476088,1.391466916,1.44480358,1.5626953
"43",1991-02-12,1.416235075,1.323411521,1.38377963,1.51237986
"44",1991-02-13,1.383810159,1.293818713,1.37046782,1.53225655
"45",1991-02-14,1.977435958,1.868185724,1.98369173,2.2066425
"46",1991-02-15,1.687432921,1.591015583,1.67620453,1.84308035
"47",1991-02-16,1.518995167,1.430890847,1.49876111,1.63382572
"48",1991-02-17,1.410737265,1.328224716,1.386667,1.50437823
"49",1991-02-18,1.490106349,1.430375437,1.50776953,1.64197394
"50",1991-02-19,2.022528053,1.924758778,2.04615739,2.16129168
"51",1991-02-20,1.886588297,1.771743659,1.88333767,2.02509795
"52",1991-02-21,1.677816173,1.581730528,1.67340443,1.80948443
"53",1991-02-22,1.536297622,1.451103857,1.53053232,1.65991335
"54",1991-02-23,1.439827766,1.361394757,1.43343523,1.55715803
"55",1991-02-24,1.366074851,1.292337314,1.35937629,1.47795774
"56",1991-02-25,1.402549341,1.326370938,1.40956494,1.55490088
"57",1991-02-26,2.281341487,2.164380039,2.39370422,2.75906312
"58",1991-02-27,1.906271431,1.813533476,1.97233826,2.22015636
"59",1991-02-28,1.640447913,1.563773404,1.67535305,1.85283725
"60",1991-03-01,1.48709219,1.418592983,1.50667614,1.64929351
"61",1991-03-02,2.193463679,2.034526619,2.20304609,2.55452379
"62",1991-03-03,3.32251828,2.969510428,3.3955366,4.3611303
"63",1991-03-04,7.486935649,6.345223763,7.82570514,11.06372611
"64",1991-03-05,4.936138541,4.283589057,5.11573759,6.86874078
"65",1991-03-06,3.350421188,3.003808406,3.4370939,4.33192833
"66",1991-03-07,2.663941501,2.427919463,2.70412818,3.27178577
"67",1991-03-08,2.24874017,2.08867048,2.26981257,2.63023242
"68",1991-03-09,2.014959792,1.891535309,2.0260994,2.28329085
"69",1991-03-10,1.867560766,1.762995201,1.87357692,2.07844054
"70",1991-03-11,1.762951731,1.668715301,1.76620741,1.94325757
"71",1991-03-12,1.680098342,1.592067057,1.68175191,1.84284135
"72",1991-03-13,2.072606633,2.141864994,2.30349364,2.64527334
"73",1991-03-14,2.242486249,2.292874742,2.60424396,2.99319567
"74",1991-03-15,2.073089699,2.035726637,2.28727656,2.58922842
"75",1991-03-16,1.955961004,1.855495361,2.0124435,2.24824874
"76",1991-03-17,1.865478773,1.725649467,1.84816266,2.05025082
"77",1991-03-18,3.770315631,3.29118586,3.78305001,4.94387307
"78",1991-03-19,3.335947539,2.943657558,3.34133086,4.24260547
"79",1991-03-20,2.556471485,2.292648911,2.5302526,3.05502581
"80",1991-03-21,2.1612549,1.955946516,2.11978349,2.48763393
"81",1991-03-22,2.120736064,1.918133638,2.07451904,2.41970891
"82",1991-03-23,2.773886712,2.513352981,2.74924444,3.29074652
"83",1991-03-24,2.74607039,2.491104384,2.72456408,3.22546991
"84",1991-03-25,2.300544389,2.101866198,2.26764988,2.61172114
"85",1991-03-26,2.048421811,1.878556753,2.01083555,2.28044333
"86",1991-03-27,1.907114899,1.751083001,1.86832255,2.13455734
"87",1991-03-28,1.800273556,1.654222563,1.76169704,1.99845631
"88",1991-03-29,7.239851074,5.975864431,7.67897102,11.88002577
"89",1991-03-30,8.753162945,7.551336956,9.13302664,12.49690386
"90",1991-03-31,5.418912622,4.767642431,5.58597795,7.27189268
"91",1991-04-01,3.741375803,3.351791996,3.80703609,4.70860871
"92",1991-04-02,2.91232703,2.646757764,2.93092787,3.47498086
"93",1991-04-03,2.478417716,2.273528921,2.47509613,2.85075045
"94",1991-04-04,2.230743829,2.056886036,2.21689175,2.50959392
"95",1991-04-05,2.083188995,1.925952503,2.06808594,2.32532692
"96",1991-04-06,1.963919595,1.817667328,1.94759179,2.18800617
"97",1991-04-07,1.869220434,1.730621369,1.85116805,2.07269858
"98",1991-04-08,1.791851547,1.659104063,1.7732238,1.98235588
"99",1991-04-09,1.716841225,1.589775438,1.69827163,1.89686986
"100",1991-04-10,1.754022486,1.616841681,1.74124515,1.99685645
"101",1991-04-11,1.649152507,1.518280031,1.63489748,1.86223562
"102",1991-04-12,1.567426092,1.448471587,1.55487518,1.75737472
"103",1991-04-13,2.173105081,1.976169711,2.27909229,2.6931452
"104",1991-04-14,2.351271289,2.139009166,2.4853418,2.943253
"105",1991-04-15,2.286186054,2.119734539,2.4191679,2.86365547
"106",1991-04-16,2.07345535,1.935097674,2.17666835,2.55178824
"107",1991-04-17,1.825326479,1.709111068,1.88484244,2.16712455
"108",1991-04-18,1.676293063,1.571990531,1.71703404,1.95945952
"109",1991-04-19,1.69595722,1.594735115,1.75718131,2.03261796
"110",1991-04-20,2.084136262,1.983582391,2.19320741,2.57746094
"111",1991-04-21,1.852716116,1.759013896,1.92954632,2.23929428
"112",1991-04-22,1.685663985,1.598095824,1.74302149,1.99368323
"113",1991-04-23,1.575177271,1.492103981,1.62255821,1.84302444
"114",1991-04-24,1.492115397,1.412799551,1.53394921,1.7367621
"115",1991-04-25,1.423081629,1.34709067,1.46146949,1.65223489
"116",1991-04-26,1.361646034,1.28844599,1.39753095,1.57911817
"117",1991-04-27,1.304367145,1.233618065,1.33810179,1.51205467
"118",1991-04-28,1.249877684,1.18140503,1.28178183,1.44896431
"119",1991-04-29,1.197465297,1.131121356,1.22764134,1.38857864
"120",1991-04-30,1.450149968,1.372185733,1.57091792,1.97380009
"121",1991-05-01,1.32488896,1.25358893,1.41852203,1.7564159
"122",1991-05-02,1.217979324,1.154730989,1.28176771,1.52351704
"123",1991-05-03,1.142549534,1.08310227,1.19076687,1.3849265
"124",1991-05-04,1.081170738,1.023997138,1.12107835,1.29021754
"125",1991-05-05,1.025860979,0.970436974,1.06067022,1.21473848
"126",1991-05-06,1.028257756,0.96835399,1.06661738,1.2228745
"127",1991-05-07,0.960298833,0.901259426,0.99754973,1.14702828
"128",1991-05-08,0.921379265,0.864869566,0.95657226,1.09814701
"129",1991-05-09,0.90279551,0.844215296,0.94124609,1.08532942
"130",1991-05-10,0.854541816,0.801495671,0.88923585,1.02707634
"131",1991-05-11,0.820310579,0.768747438,0.85322269,0.985104
"132",1991-05-12,0.782918337,0.729726727,0.81358069,0.94159111
"133",1991-05-13,0.740321675,0.68712378,0.76868076,0.89290287
"134",1991-05-14,0.734102624,0.674159764,0.76675305,0.89918606
"135",1991-05-15,0.72174582,0.652590249,0.76094079,0.90513934
"136",1991-05-16,0.679057995,0.615124973,0.71506297,0.84874839
"137",1991-05-17,0.726389125,0.654443376,0.76971009,0.91877511
"138",1991-05-18,0.721022785,0.617332084,0.7633625,0.94468667
"139",1991-05-19,1.17320665,1.020521341,1.2452244,1.54087415
"140",1991-05-20,1.193015877,1.061548638,1.26879679,1.53905898
"141",1991-05-21,1.102839824,0.996966801,1.16738443,1.36896057
"142",1991-05-22,1.023033126,0.933312218,1.07328842,1.2343887
"143",1991-05-23,0.964478833,0.883610282,1.00678857,1.14594468
"144",1991-05-24,0.911013615,0.83324557,0.94800755,1.07572694
"145",1991-05-25,0.856000449,0.77955069,0.88956041,1.01054677
"146",1991-05-26,0.805581544,0.729334991,0.83650131,0.95341848
"147",1991-05-27,0.758326875,0.682488311,0.78705891,0.90033419
"148",1991-05-28,0.727845713,0.653839221,0.75631474,0.86739032
"149",1991-05-29,0.694569647,0.620525851,0.72107929,0.82721639
"150",1991-05-30,0.643079833,0.568120213,0.66716594,0.77192821
"151",1991-05-31,0.590609328,0.514867227,0.61217812,0.71475149
"152",1991-06-01,0.553453904,0.470838868,0.57410921,0.68927691
"153",1991-06-02,0.526215281,0.448340061,0.54502145,0.66097434
"154",1991-06-03,0.548228153,0.458200786,0.56627585,0.72670219
"155",1991-06-04,0.50076979,0.419911958,0.51762788,0.66627993
"156",1991-06-05,0.469929911,0.382627758,0.48448033,0.62906499
"157",1991-06-06,0.43720268,0.350459182,0.44972609,0.5898212
"158",1991-06-07,0.399247725,0.313237639,0.4096497,0.54504754
"159",1991-06-08,0.360526625,0.274882356,0.36873376,0.49984301
"160",1991-06-09,0.318951556,0.233260548,0.32478501,0.45216605
"161",1991-06-10,0.27409886,0.188102355,0.27739137,0.40128025
"162",1991-06-11,0.228145483,0.141837306,0.22883385,0.34923437
"163",1991-06-12,0.183415531,0.097230244,0.1815954,0.29843606
"164",1991-06-13,0.137931205,0.066799701,0.13358564,0.24687667
"165",1991-06-14,0.093412806,0.061490536,0.08814645,0.19589942
"166",1991-06-15,0.087866622,0.069491641,0.09226266,0.19334328
"167",1991-06-16,0.159295735,0.119527628,0.16866911,0.30154774
"168",1991-06-17,0.265651526,0.201519054,0.27690209,0.43018072
"169",1991-06-18,0.340389303,0.265131776,0.35140499,0.52238542
"170",1991-06-19,0.306496648,0.239084514,0.31552176,0.47396535
"171",1991-06-20,0.288688369,0.225523237,0.29695974,0.44335771
"172",1991-06-21,0.284026752,0.213349624,0.29202661,0.44704813
"173",1991-06-22,0.640634975,0.488422342,0.65970387,1.04104931
"174",1991-06-23,1.032440253,0.836649683,1.06304649,1.83172496
"175",1991-06-24,0.892131303,0.73377675,0.91185924,1.59379893
