"","lri.dat11.date","lri.dat11.flow.unit","lri.dat15.flow.unit","lri.dat14.flow.unit","lri.dat16.flow.unit"
"1",1991-01-01,1.607114482,1.63675519,1.63675519,1.63675519
"2",1991-01-02,1.226829273,1.241473675,1.241473668,1.24147367
"3",1991-01-03,1.058604273,1.067787262,1.067781496,1.06778259
"4",1991-01-04,0.96476312,0.971535185,0.971363318,0.97135413
"5",1991-01-05,0.895802579,0.900979744,0.900435945,0.90033588
"6",1991-01-06,0.843173508,0.8470101,0.846496562,0.84959528
"7",1991-01-07,3.534883465,3.223657448,3.694315548,4.36443192
"8",1991-01-08,2.266345184,2.133400485,2.333113121,2.60136531
"9",1991-01-09,1.765219914,1.704962467,1.932048292,2.18273893
"10",1991-01-10,1.217514618,1.192718368,1.313792999,1.41589308
"11",1991-01-11,10.33820134,8.776750615,11.393371628,15.06634127
"12",1991-01-12,13.795729513,10.469429642,12.943730558,16.39485009
"13",1991-01-13,4.81163016,3.961723871,4.543618212,5.3001898
"14",1991-01-14,2.550694796,2.24322719,2.497201631,2.817878
"15",1991-01-15,1.724587868,1.605425815,1.741160784,1.90200541
"16",1991-01-16,6.32447919,4.964529239,6.695010947,8.93428007
"17",1991-01-17,3.070920261,2.624521826,3.071075768,3.46065464
"18",1991-01-18,1.893301438,1.709898053,1.918823013,2.10227766
"19",1991-01-19,1.447068797,1.356903752,1.478261324,1.59052111
"20",1991-01-20,1.380010382,1.297449683,1.41765552,1.56129707
"21",1991-01-21,1.223197556,1.167523822,1.259978199,1.35961314
"22",1991-01-22,1.111310449,1.065336761,1.140109616,1.219705
"23",1991-01-23,1.037180671,0.995369788,1.061396525,1.13155309
"24",1991-01-24,0.977133766,0.937566547,0.998104919,1.06237998
"25",1991-01-25,0.920797052,0.882540455,0.938378397,0.99777736
"26",1991-01-26,0.872548559,0.835241545,0.887181313,0.94257708
"27",1991-01-27,0.824818489,0.78850088,0.836602143,0.88807074
"28",1991-01-28,0.778923551,0.743562472,0.787957437,0.83561245
"29",1991-01-29,0.734078211,0.699780493,0.740723426,0.78482124
"30",1991-01-30,0.690343157,0.657262639,0.694961745,0.7357259
"31",1991-01-31,0.647922165,0.616125289,0.650865476,0.68858666
"32",1991-02-01,0.607333726,0.57674605,0.608844445,0.6438835
"33",1991-02-02,0.568958129,0.539515502,0.569145655,0.60166338
"34",1991-02-03,0.532595611,0.504306356,0.5316206,0.56171361
"35",1991-02-04,0.497986098,0.470900726,0.496054391,0.52385301
"36",1991-02-05,0.465013847,0.439176773,0.462321352,0.48797262
"37",1991-02-06,0.433707858,0.409148946,0.43044124,0.45410986
"38",1991-02-07,0.554812174,0.524476819,0.601942209,0.73282271
"39",1991-02-08,0.47463545,0.446004485,0.495122952,0.57220654
"40",1991-02-09,0.421523086,0.396617906,0.433738213,0.48858058
"41",1991-02-10,0.38663044,0.363461478,0.395807075,0.4425036
