"","lri.dat11.date","lri.dat11.flow.unit","lri.dat15.flow.unit","lri.dat14.flow.unit","lri.dat16.flow.unit"
"1",1991-01-01,1.353353234,1.376757753,1.37675775,1.37675775
"2",1991-01-02,0.99502345,1.008876972,1.0088764,1.00887555
"3",1991-01-03,0.865740909,0.876509752,0.87645981,0.87640801
"4",1991-01-04,0.806078696,0.815496181,0.81522007,0.81500102
"5",1991-01-05,0.765857472,0.774331858,0.77369505,0.77322749
"6",1991-01-06,0.734877403,0.742578097,0.74158446,0.74088916
"7",1991-01-07,2.547257742,2.340899116,2.65617035,3.15308776
"8",1991-01-08,2.047766705,1.945975614,2.12117992,2.38956462
"9",1991-01-09,1.339448417,1.362855891,1.46756598,1.79419676
"10",1991-01-10,1.043182422,1.011381247,1.07543668,1.18185018
"11",1991-01-11,9.832409002,8.432272023,11.92977007,16.88937753
"12",1991-01-12,13.611203076,10.765863224,13.32617721,16.61982659
"13",1991-01-13,4.786142996,4.019604067,4.60099574,5.24919217
"14",1991-01-14,2.267657339,2.010987641,2.22060778,2.45971099
"15",1991-01-15,1.468372029,1.371979247,1.46709301,1.57989563
"16",1991-01-16,5.622546649,4.332007498,5.98563552,8.10798195
"17",1991-01-17,2.973318486,2.507790062,2.98102597,3.35652806
"18",1991-01-18,1.686959316,1.518714289,1.69806234,1.85595298
"19",1991-01-19,1.267393209,1.190544625,1.27862708,1.36871083
"20",1991-01-20,1.22517656,1.156727171,1.24821939,1.36991122
"21",1991-01-21,1.118681697,1.064610291,1.13536636,1.22372336
"22",1991-01-22,1.028954869,0.984547207,1.04053932,1.11079597
"23",1991-01-23,0.975552566,0.934409453,0.98481412,1.04848461
"24",1991-01-24,0.933583724,0.893807502,0.94141033,1.00185992
"25",1991-01-25,0.893920373,0.854868791,0.90000515,0.9578812
"26",1991-01-26,0.859331863,0.820784804,0.86377893,0.91939228
"27",1991-01-27,0.824540338,0.786509113,0.82733904,0.88058317
"28",1991-01-28,0.790303226,0.752840084,0.79147195,0.84229482
"29",1991-01-29,0.756208667,0.71946603,0.75593598,0.8043329
"30",1991-01-30,0.722377374,0.686509048,0.72087515,0.76686875
"31",1991-01-31,0.688929815,0.654029452,0.68641556,0.73010898
"32",1991-02-01,0.656384521,0.62244022,0.65295405,0.6944572
"33",1991-02-02,0.625075939,0.592067305,0.62077054,0.66011857
"34",1991-02-03,0.59489694,0.562858586,0.58983381,0.62706692
"35",1991-02-04,0.565712812,0.53469384,0.56002961,0.59521786
"36",1991-02-05,0.537460121,0.507507746,0.53129199,0.56451933
"37",1991-02-06,0.510160696,0.481311301,0.50364162,0.5350074
"38",1991-02-07,0.628075579,0.592958618,0.6649602,0.77371068
"39",1991-02-08,0.654212426,0.621090708,0.68045791,0.77000286
"40",1991-02-09,0.531217254,0.501379524,0.54122857,0.601299
"41",1991-02-10,0.480947219,0.453090128,0.48603621,0.53640396
"42",1991-02-11,0.449518046,0.422959283,0.45262183,0.49835262
"43",1991-02-12,0.424434641,0.398975069,0.4264582,0.46909788
"44",1991-02-13,0.402236648,0.377769093,0.40349388,0.44363437
"45",1991-02-14,0.551447272,0.511662838,0.57311387,0.6641831
"46",1991-02-15,0.44785348,0.418699969,0.45636472,0.51359317
"47",1991-02-16,0.405371687,0.380177801,0.41034419,0.45659392
"48",1991-02-17,0.378875023,0.355471364,0.38230821,0.42373204
"49",1991-02-18,0.455816883,0.417925203,0.45940568,0.51915516
"50",1991-02-19,0.646281238,0.592114724,0.63389155,0.72316243
"51",1991-02-20,0.510686381,0.472723494,0.51449373,0.59567736
"52",1991-02-21,0.445587122,0.41519802,0.45230181,0.5166458
"53",1991-02-22,0.4108883,0.383500598,0.41778439,0.47540902
"54",1991-02-23,0.385765161,0.35999682,0.39203416,0.44555711
"55",1991-02-24,0.364289123,0.339750035,0.36979868,0.42001994
"56",1991-02-25,0.344735906,0.321276697,0.3494494,0.39688647
"57",1991-02-26,0.598089372,0.557612021,0.6298353,0.7608774
"58",1991-02-27,0.455155295,0.418421338,0.4609348,0.54659602
"59",1991-02-28,0.380293784,0.353949964,0.38710616,0.44819321
"60",1991-03-01,0.345084642,0.322442925,0.35154119,0.40329264
"61",1991-03-02,0.616542858,0.539858372,0.61163973,0.77000199
