"FIPS_NHL","FIPS","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"H24021","24021","1.4676310023996","2.5328670323214","1.27893414702551","2.66106226199199","1.86473142397528","2.1453924390872","3.03009218149235","2.94937954397405","2.9683928916937","1.77242751180425","1.59189852666958","2.34784865543986","2.21755480148956"
"H24023","24023","1.40008706387588","2.63193916790155","1.37897939451464","2.66299604357439","1.80795367896439","2.31064810489692","3.23414784057502","3.09799986948226","3.16921961389522","1.91654762952655","1.56993542783756","2.48382879544838","2.3053568858744"
"H42013","42013","1.74190720578891","2.77564692361068","1.40792086932908","2.69862683330577","1.7827384988874","2.12640293983849","3.10565989117158","3.17112372529501","3.11833532685499","1.77362463852378","1.67655464022032","2.62814747415834","2.3338907472487"
"H42027","42027","1.93938982413537","2.81520782529185","1.44163848300246","2.68186612405177","1.76623367281023","1.97898927448114","2.94780048708358","3.04855123186021","2.96646396256399","1.6057034569267","1.73016643020321","2.66288419309915","2.29874124712581"
"H42043","42043","1.83698562461697","2.69557066508262","1.40541505594012","2.69432308493602","1.79188128059969","1.98801932816276","3.03745881573084","3.0235001260656","2.90958602006678","1.61093642169366","1.64054703685111","2.5900514710763","2.26868957756854"
"H42079","42079","1.96937542972588","2.8015874526798","1.42132177042552","2.62879569080039","1.78071809323691","1.90600389986745","2.82343299630421","2.91698641548561","2.77906007544024","1.43497009864245","1.78117816411981","2.63201379287525","2.23962032330029"
"H42113","42113","2.0031588701832","2.83550146880788","1.44168600889362","2.64567408374987","1.78846551059353","1.91878266872752","2.83798579717436","2.9391771070301","2.80061370680151","1.456878415507","1.79844428686149","2.66163108725942","2.26066658429912"
"H42115","42115","1.95577885766946","2.77782064673599","1.39077306344338","2.52308651621972","1.73487626798536","1.81196394517419","2.65740514008588","2.78928125576565","2.65786131026397","1.27996726684588","1.80819141087458","2.65832018216694","2.17044382193592"
"H42117","42117","2.1351023748304","2.9782886955253","1.482730759877","2.64457304947107","1.71389473778394","1.9497236790618","2.79807995996022","3.00143889272987","2.90154516779908","1.47714025445638","1.84203944287795","2.84862934338932","2.31443219648019"
"H42119","42119","1.9535388221356","2.8203706862559","1.44175634190253","2.67820763170199","1.768298308401","1.9724673602975","2.93578534252253","3.0330479927225","2.94009419950896","1.58257762528658","1.73825805683","2.66830998300563","2.29439269588089"
"H42131","42131","1.98030382432775","2.81439796031206","1.42118286815022","2.61540976384927","1.77803870077373","1.88941183795022","2.79024638776502","2.8974147811934","2.76031554576354","1.4058100921875","1.79811232402246","2.63817860938861","2.23240189130698"
"H51003","51003","1.02781928066847","2.39660280986924","1.27659915047091","2.60785137790102","1.88685619963494","2.39447415994391","3.30167617392273","2.99147740067227","3.16287934982014","1.96468723631866","1.44026465745821","2.25989183613441","2.22592330273458"
"H51009","51009","0.952304577647768","2.30235090072934","1.24988557224165","2.58558875969618","1.90059010491146","2.49005996239825","3.32178277765157","2.99973015480516","3.21420594805463","2.02234094753171","1.36338162613192","2.18550405090105","2.21564378189172"
"H51015","51015","1.00574394114875","2.36423774037137","1.26903843583311","2.59684439867098","1.88912891749961","2.43346048652559","3.31076191918666","2.99765104678182","3.18827882902408","1.99002423557341","1.40257862320642","2.23547237557518","2.22360174578308"
"H51023","51023","0.873894984259567","2.21514385190933","1.22458478440824","2.5780233788165","1.9246642870059","2.57081570214352","3.34433547342519","3.02349979144421","3.26327237646657","2.06454522954828","1.33039647968984","2.12883671718236","2.21183442135829"
"H51045","51045","0.896138547739551","2.26613535692374","1.24242832426663","2.54248637298866","1.92372409056251","2.59535503572857","3.39731976211919","3.08117704139882","3.34281330237969","2.09683058503243","1.35434172421377","2.16702106299499","2.24214760052905"
