"FIPS_NHL","FIPS","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"H24021","24021","3.44801699602189","2.66362588354215","1.84435531532433","3.8107455168865","2.48109694564103","2.59461975277824","3.23333316926153","3.41844295831455","3.78702684535653","2.50370529830211","2.81018058828649","4.73606410858032","3.1109344481913"
"H24023","24023","3.12794493202681","2.31069283526662","1.88723242688146","3.95229754347384","2.53954945197111","2.56289791547275","3.34815915256127","3.6638053989799","4.13694695374364","2.77264467015056","2.78101126430216","4.67998867428024","3.14693093492586"
"H42013","42013","3.37218808890035","2.3590009479566","1.62921914106951","3.83094761580088","2.56425010384728","2.57088721596303","3.38613161693772","3.52219784301356","4.09300275471229","2.65729595989803","2.88063754818194","4.77241950195698","3.13651486151985"
"H42027","42027","3.6182715210607","2.56441587118892","1.68310916786502","3.80878717904735","2.55958356467359","2.60636045937261","3.35952310705041","3.44122653741356","3.88316951959553","2.62639301382055","2.93312306293791","4.94237558455257","3.16886154904823"
"H42043","42043","3.74809907772979","2.73170470537192","1.70379697658022","3.79701625678985","2.57056343372885","2.63116172437282","3.29048334539018","3.39370012618511","3.76197233457001","2.56735321687994","2.87673423444861","4.93620700353882","3.16739936963218"
"H42079","42079","3.79304504123989","2.64226142264034","1.68729674449591","3.73515711252919","2.63455140034446","2.64863272667876","3.28632936170133","3.39566971588161","3.75704189304274","2.72139096383941","3.05539272394938","4.91899504137512","3.18964701230984"
"H42113","42113","3.75987858525727","2.61108300724364","1.68744109706309","3.74500971705998","2.62451232619317","2.6332717980421","3.27901966417724","3.4035912900585","3.77757213745753","2.72633637964666","3.04136612767967","4.93764529831997","3.18556061901657"
"H42115","42115","3.94456848230332","2.70613740100929","1.73736527060199","3.67382771192551","2.59880348322449","2.67819641457809","3.32357009580816","3.40144207610384","3.72025101440018","2.73436300964828","3.20939360442094","4.91383407101793","3.22014605292017"
"H42117","42117","3.60803983075393","2.43823343197575","1.69414327648678","3.7989070048523","2.59423190647548","2.59546537949948","3.38577799408236","3.46236415385116","3.94681704585166","2.67217776771189","3.00319237433904","5.00185156067325","3.18343347721276"
"H42119","42119","3.64162395884962","2.57359339872947","1.6847941701573","3.79991008175697","2.57016306200914","2.6097285759068","3.34457361574507","3.43396879911261","3.86483834135798","2.63591005080842","2.94245683878403","4.94488708646465","3.17053733164017"
"H42131","42131","3.81615343948665","2.63918873884422","1.6827866963215","3.72858651580481","2.63550236204119","2.65556850034113","3.29766252067032","3.40294682709344","3.76457432183636","2.74672574362566","3.09158263620701","4.9187593363851","3.19833646988812"
"H51003","51003","2.74044276719735","2.20345519917073","1.80966992003545","3.80138566709857","2.371365694316","2.425073593197","3.04113770241234","3.39437977220654","3.71338130747657","2.65480802401251","2.65515663124334","4.58158628725643","2.9493202138019"
"H51009","51009","2.60782159231266","2.11557507688441","1.69359466457025","3.82222288289976","2.37933236801248","2.4410851104735","2.97450216435911","3.31704147015162","3.68029187729772","2.68170382151368","2.59904321806598","4.52412126575286","2.90302795935784"
