"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00328,2.53e-05,2.84e-05,0.00477,0,0.000446
"2","Jan",0.000747,0,1.48e-06,0.0051,0,0.000468
"3","Feb",0.000927,0,1.99e-06,0.00398,0,0.000261
"4","Mar",0.00161,0,4.96e-06,0.00627,0,0.00049
"5","Apr",0.00272,0.000822,1.15e-05,0.00461,0,0.000374
"6","May",0.00469,0.00223,3.2e-05,0.00469,0,0.000324
"7","Jun",0.0068,0.00372,5.86e-05,0.00474,0,0.000497
"8","Jul",0.00735,0.00373,6.88e-05,0.00508,0,0.000598
"9","Aug",0.006,0.00219,4.95e-05,0.00416,0,0.000429
"10","Sep",0.00424,0.000335,3.05e-05,0.00643,0,0.000711
"11","Oct",0.00216,0,9.06e-06,0.00304,0,0.000269
"12","Nov",0.00119,0,3.59e-06,0.00483,0,0.000539
"13","Dec",0.000743,0,1.48e-06,0.00424,0,0.000376
