"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00293,1.57e-06,2.09e-05,0.00423,0,0.000341
"2","Jan",0.000791,0,1.62e-06,0.00499,0,0.000517
"3","Feb",0.000956,0,2.13e-06,0.00389,0,0.00021
"4","Mar",0.00162,1.94e-05,4.96e-06,0.00554,0,0.000334
"5","Apr",0.00264,0.000735,1.12e-05,0.00419,0,0.000393
"6","May",0.00409,0.00186,2.31e-05,0.00497,0,0.000357
"7","Jun",0.00578,0.00305,4.23e-05,0.0048,0,0.000422
"8","Jul",0.00605,0.00287,4.49e-05,0.00476,0,0.000403
"9","Aug",0.0054,0.00184,3.97e-05,0.00369,0,0.000341
"10","Sep",0.00367,0.000201,2.19e-05,0.00446,0,0.00047
"11","Oct",0.00207,0,8.15e-06,0.00184,0,9.38e-05
"12","Nov",0.00121,0,3.73e-06,0.00388,0,0.000269
"13","Dec",0.000746,0,1.52e-06,0.00378,0,0.000266
