"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00314,1.84e-05,2.49e-05,0.00371,0,0.000224
"2","Jan",0.000771,0,1.57e-06,0.00365,0,0.000187
"3","Feb",0.000945,0,2.09e-06,0.00319,0,0.000155
"4","Mar",0.00164,1.91e-05,5.08e-06,0.00496,0,0.000255
"5","Apr",0.00273,0.000791,1.19e-05,0.0037,0,0.000203
"6","May",0.0044,0.00211,2.72e-05,0.00407,0,0.00023
"7","Jun",0.0065,0.00353,5.24e-05,0.00435,0,0.000291
"8","Jul",0.00664,0.00324,5.52e-05,0.00428,0,0.000238
"9","Aug",0.00581,0.00201,4.57e-05,0.00381,0,0.000259
"10","Sep",0.00396,0.000249,2.59e-05,0.00421,0,0.000378
"11","Oct",0.00216,0,8.94e-06,0.00172,0,8.78e-05
"12","Nov",0.00121,0,3.81e-06,0.00343,0,0.00021
"13","Dec",0.000735,0,1.46e-06,0.0031,0,0.00018
