"","data11.date","data11.flow","data15.flow","data14.flow","data16.flow"
"1",1991-01-01,8750.9834,8875.5673,8814.3783,8875.5673
"2",1991-01-02,10213.3648,10301.8056,10267.2597,10303.0378
"3",1991-01-03,8606.1634,8611.2075,8634.1564,8618.8194
"4",1991-01-04,6369.9358,6339.4686,6380.3579,6350.7055
"5",1991-01-05,4935.5431,4908.1312,4939.1079,4917.2786
"6",1991-01-06,4101.2961,4081.5011,4101.6582,4088.3874
"7",1991-01-07,3924.4569,3874.9619,3990.9184,4105.8268
"8",1991-01-08,4660.5575,4457.3126,4908.4082,5419.828
"9",1991-01-09,5883.4988,5494.9572,6439.4418,7451.0773
"10",1991-01-10,6401.073,6020.6433,7142.362,8180.0348
"11",1991-01-11,7065.6066,6816.9172,8787.4507,10516.6433
"12",1991-01-12,9755.8536,9822.8509,14394.4983,18603.2781
"13",1991-01-13,12592.4585,13240.4383,19691.29,25382.321
"14",1991-01-14,12903.3119,13311.7068,18207.3925,22198.9655
"15",1991-01-15,10870.0236,10514.1634,12847.8134,14690.0459
"16",1991-01-16,9120.4343,8465.1045,9815.4819,11069.9539
"17",1991-01-17,9719.6787,8515.0443,9687.1742,11089.081
"18",1991-01-18,11347.9586,9381.3303,10254.8028,11582.1517
"19",1991-01-19,11269.272,9289.6824,9698.3099,10542.4072
"20",1991-01-20,9249.6984,7886.9486,7990.4418,8374.7565
"21",1991-01-21,7281.8938,6391.7959,6472.829,6723.971
"22",1991-01-22,6052.8775,5383.4842,5541.2658,5802.6207
"23",1991-01-23,5251.5621,4719.7142,4940.3226,5199.7967
"24",1991-01-24,4640.8649,4223.8124,4459.5188,4674.6778
"25",1991-01-25,4159.0464,3834.3649,4046.9147,4207.8807
"26",1991-01-26,3809.1066,3542.1229,3719.1605,3842.4307
"27",1991-01-27,3561.7722,3327.3671,3472.4849,3574.0421
"28",1991-01-28,3378.291,3163.2327,3285.3516,3374.9999
"29",1991-01-29,3233.944,3031.1992,3139.3286,3223.4268
"30",1991-01-30,3121.3508,2924.4651,3024.1769,3107.8513
"31",1991-01-31,3067.3198,2856.8902,2943.4709,3033.0437
"32",1991-02-01,3110.2319,2848.9261,2903.5173,3006.2414
"33",1991-02-02,3216.7764,2881.0804,2885.8971,3003.3459
"34",1991-02-03,3271.2035,2889.0476,2850.3334,2973.4137
"35",1991-02-04,3200.3303,2829.0531,2774.3942,2890.7285
"36",1991-02-05,3038.1864,2713.375,2667.9124,2771.6017
"37",1991-02-06,2866.6817,2588.4387,2569.323,2672.4874
"38",1991-02-07,2766.3137,2514.3326,2531.2982,2661.0825
"39",1991-02-08,2751.8949,2502.383,2551.8599,2726.3562
"40",1991-02-09,2774.13,2517.0942,2587.2579,2799.828
"41",1991-02-10,2773.5165,2516.3337,2593.1583,2814.2688
"42",1991-02-11,2711.2129,2466.0603,2537.991,2737.7318
"43",1991-02-12,2598.9833,2373.0885,2435.9613,2607.2794
"44",1991-02-13,2476.0503,2269.5163,2327.8967,2488.8716
"45",1991-02-14,2457.9306,2253.3914,2323.8733,2521.9791
"46",1991-02-15,2630.0305,2400.4435,2504.8895,2793.6262
