"","data11.date","data11.flow","data15.flow","data14.flow","data16.flow"
"1",1991-01-01,270.5510909,278.071496,278.071496,278.071496
"2",1991-01-02,239.845644,245.262008,245.262008,245.262008
"3",1991-01-03,173.4589422,176.941172,176.941181,176.941186
"4",1991-01-04,133.4201319,136.109056,136.108952,136.108821
"5",1991-01-05,110.4619027,112.745969,112.743819,112.741873
"6",1991-01-06,96.818436,98.87712,98.867934,98.86044
"7",1991-01-07,93.1547212,94.748394,95.532651,96.23501
"8",1991-01-08,109.2924195,109.091159,113.257587,118.428247
"9",1991-01-09,151.9145758,148.222481,159.356384,174.350961
"10",1991-01-10,176.8287291,173.493458,188.687742,211.255942
"11",1991-01-11,176.1879544,174.059686,192.340843,219.15475
"12",1991-01-12,308.0107086,269.653366,345.338627,447.667025
"13",1991-01-13,709.0858564,561.431518,762.925657,1028.694118
"14",1991-01-14,844.9779374,678.331855,860.678464,1084.191716
"15",1991-01-15,521.8147433,452.758444,519.553005,590.722907
"16",1991-01-16,306.4647753,282.385113,312.315748,343.373061
"17",1991-01-17,287.521903,256.757307,301.878971,353.896175
"18",1991-01-18,338.1794292,288.945576,362.386887,445.615612
"19",1991-01-19,302.9195734,265.574558,320.376466,375.061426
"20",1991-01-20,220.7407845,204.173855,230.016966,252.759086
"21",1991-01-21,180.0124782,169.760617,188.362492,206.846313
"22",1991-01-22,159.4809364,151.886891,167.500183,184.231282
"23",1991-01-23,146.4280614,140.0974,154.088466,169.591291
"24",1991-01-24,134.1255893,128.881922,141.018318,154.457935
"25",1991-01-25,124.0011798,119.427817,130.241119,142.248779
"26",1991-01-26,115.8201991,111.622156,121.539554,132.618661
"27",1991-01-27,108.8817642,104.905761,114.155831,124.579014
"28",1991-01-28,102.7616332,98.93402,107.632919,117.533656
"29",1991-01-29,97.1838512,93.471509,101.676982,111.113398
"30",1991-01-30,91.9501605,88.342722,96.081473,105.074601
"31",1991-01-31,86.9801521,83.479416,90.769367,99.328499
"32",1991-02-01,82.2122262,78.825191,85.682481,93.813443
"33",1991-02-02,77.6829561,74.414988,80.859578,88.573397
"34",1991-02-03,73.3895877,70.243896,76.296154,83.605847
"35",1991-02-04,69.2746056,66.253077,71.931379,78.848184
"36",1991-02-05,65.3495038,62.452366,67.775576,74.310914
"37",1991-02-06,61.6124246,58.839675,63.825881,69.990692
"38",1991-02-07,58.6911596,56.027959,60.840221,66.948364
"39",1991-02-08,57.5061738,54.86896,60.038975,66.913871
"40",1991-02-09,59.320741,56.573688,62.837457,71.565854
"41",1991-02-10,61.2393542,58.462317,65.402526,75.282731
"42",1991-02-11,58.974801,56.394439,62.773559,71.866502
"43",1991-02-12,54.3804491,52.039884,57.530002,65.3947
"44",1991-02-13,50.0261348,47.865775,52.676299,59.630181
"45",1991-02-14,47.0811366,45.050148,49.488111,56.035741
"46",1991-02-15,46.0587212,43.947441,48.500848,55.331702
"47",1991-02-16,46.6885946,44.288534,49.362425,56.995146
"48",1991-02-17,46.4722792,44.02191,49.200626,56.995004
"49",1991-02-18,44.6570635,42.419763,47.158233,54.372875
"50",1991-02-19,44.2475873,42.023091,46.63506,53.72237
"51",1991-02-20,46.6894355,43.958068,48.927611,56.657404
"52",1991-02-21,51.5800274,48.04288,53.469066,62.343614
"53",1991-02-22,54.086204,50.361077,55.84575,65.166853
"54",1991-02-23,51.9895379,48.749851,53.89202,62.615789
"55",1991-02-24,48.5994738,45.845441,50.60063,58.544385
"56",1991-02-25,45.2610344,42.857308,47.267537,54.541056
"57",1991-02-26,43.6859856,41.505448,45.827244,52.973101
"58",1991-02-27,44.8603578,42.586452,47.219166,55.234656
"59",1991-02-28,48.7526718,45.950629,51.229004,61.109204
"60",1991-03-01,50.9344001,47.828573,53.275712,63.916312
"61",1991-03-02,51.39996,48.231149,53.604148,64.190646
"62",1991-03-03,53.7455982,49.960283,55.777152,67.651782
"63",1991-03-04,62.5244293,56.63118,64.076097,80.428097
"64",1991-03-05,81.2825013,72.271517,82.594412,105.606383
"65",1991-03-06,99.0341519,88.621662,100.674671,126.396652
"66",1991-03-07,98.1848903,89.462364,100.066939,121.812913
"67",1991-03-08,84.4423565,78.162152,86.182208,102.409655
"68",1991-03-09,73.2417192,68.333314,74.82197,87.977054
"69",1991-03-10,65.2208299,61.076282,66.656657,78.030911
"70",1991-03-11,59.2948541,55.600392,60.598282,70.84679
"71",1991-03-12,54.653149,51.248798,55.833249,65.283674
"72",1991-03-13,52.9579029,49.704775,54.237594,63.683782
"73",1991-03-14,56.4631775,52.951097,58.254338,70.073468
"74",1991-03-15,67.4703313,63.364513,70.945343,89.096066
"75",1991-03-16,81.9886484,77.187379,87.071043,110.567303
"76",1991-03-17,86.8764294,81.182344,90.620872,112.118292
"77",1991-03-18,91.1832034,82.863133,92.913533,118.698086
"78",1991-03-19,117.9889255,99.177289,118.937652,183.605214
"79",1991-03-20,166.5614057,130.324766,166.981214,289.119846
"80",1991-03-21,171.7002867,136.09365,171.127385,272.366452
"81",1991-03-22,133.5412297,111.797334,132.347645,182.654174
"82",1991-03-23,107.7909857,93.056006,106.662797,141.471256
"83",1991-03-24,95.2138194,82.734094,94.085328,122.975178
"84",1991-03-25,93.2052412,79.371805,92.01808,120.914045
"85",1991-03-26,90.8683927,76.378371,89.657737,117.115326
"86",1991-03-27,83.0980969,70.544581,81.929534,105.596075
"87",1991-03-28,74.5200813,64.278099,73.398486,94.098622
"88",1991-03-29,88.0269817,73.648182,88.043067,132.307811
"89",1991-03-30,152.1514011,115.762981,156.038327,311.038032
"90",1991-03-31,308.121383,219.742942,320.000773,675.997561
"91",1991-04-01,401.2775127,294.450499,414.696758,743.997069
"92",1991-04-02,307.5915242,241.05327,314.261053,463.159633
"93",1991-04-03,209.1068018,171.583688,212.157128,294.849464
"94",1991-04-04,159.0103403,134.150372,160.528063,214.740278
"95",1991-04-05,130.725499,112.136912,131.439611,172.447109
"96",1991-04-06,114.1482304,98.642032,114.425775,148.734356
"97",1991-04-07,103.3278445,89.496321,103.34496,133.823708
"98",1991-04-08,95.4417678,82.640745,95.292463,123.268364
"99",1991-04-09,89.0828781,77.033138,88.820975,114.899079
"100",1991-04-10,83.5321045,72.13111,83.193576,107.641277
"101",1991-04-11,78.437044,67.657188,78.057953,101.010351
"102",1991-04-12,73.645444,63.479032,73.255146,94.797518
"103",1991-04-13,69.5013146,59.886222,69.150686,89.553588
"104",1991-04-14,67.540249,58.269026,67.414009,87.474891
"105",1991-04-15,69.4679975,60.107922,69.884419,91.134207
"106",1991-04-16,74.1342994,64.45566,75.305391,99.386159
"107",1991-04-17,77.412941,67.750488,79.125885,105.658844
"108",1991-04-18,75.9185503,66.82706,77.645137,103.216806
"109",1991-04-19,71.054733,62.75007,72.510682,94.770895
"110",1991-04-20,68.0822192,60.31845,69.473408,89.444177
"111",1991-04-21,69.2760638,61.47816,70.98985,92.234463
"112",1991-04-22,74.2948039,66.011475,76.580293,102.202111
"113",1991-04-23,75.5622068,67.455489,77.969853,103.94859
"114",1991-04-24,69.9108679,62.686361,71.96052,93.584376
"115",1991-04-25,63.6433337,57.166499,65.432919,83.361583
"116",1991-04-26,58.2946683,52.3696,59.899216,75.375521
"117",1991-04-27,53.8139745,48.317892,55.276394,69.101863
"118",1991-04-28,49.9561089,44.820208,51.301161,63.925124
"119",1991-04-29,46.5368677,41.721957,47.779913,59.446826
"120",1991-04-30,43.7298193,39.191474,44.934228,55.927209
"121",1991-05-01,41.6633598,37.337371,42.954196,54.211344
"122",1991-05-02,40.1429853,35.986673,41.610788,54.009143
"123",1991-05-03,38.2343762,34.307506,39.714692,52.1322
"124",1991-05-04,35.6971422,32.053794,36.997158,48.001015
"125",1991-05-05,33.2251783,29.838129,34.355399,43.918964
"126",1991-05-06,32.6016274,29.291764,33.711026,42.50303
"127",1991-05-07,32.9453326,29.574759,34.130865,42.632269
"128",1991-05-08,33.7794524,30.265351,35.090864,43.601576
"129",1991-05-09,34.6010816,31.02055,35.995588,44.431239
"130",1991-05-10,33.623918,30.197507,34.955565,42.889493
"131",1991-05-11,32.0160735,28.78013,33.267048,40.688805
"132",1991-05-12,30.2116201,27.181386,31.370603,38.26917
"133",1991-05-13,28.372196,25.551482,29.434614,35.818522
"134",1991-05-14,26.6457189,23.979845,27.666196,33.693313
"135",1991-05-15,25.1839223,22.646355,26.193902,31.990048
"136",1991-05-16,23.8813667,21.454707,24.88945,30.501271
"137",1991-05-17,22.8668578,20.483913,23.916521,29.442063
"138",1991-05-18,21.8283892,19.528316,22.86992,28.184405
"139",1991-05-19,20.6427747,18.457405,21.643223,26.71512
"140",1991-05-20,19.5464102,17.45939,20.507059,25.450408
"141",1991-05-21,18.4067092,16.426457,19.297187,24.026729
"142",1991-05-22,17.2753435,15.396302,18.097743,22.57562
"143",1991-05-23,16.1487178,14.377536,16.906693,21.128512
"144",1991-05-24,15.0693695,13.406156,15.76891,19.713212
"145",1991-05-25,14.0498038,12.490061,14.696768,18.377394
"146",1991-05-26,13.0913882,11.629357,13.690811,17.126796
"147",1991-05-27,12.1919764,10.821671,12.748155,15.957916
"148",1991-05-28,11.3490983,10.064562,11.865731,14.866426
"149",1991-05-29,10.56005,9.355565,11.040362,13.847556
"150",1991-05-30,9.8200221,8.690502,10.266727,12.893719
"151",1991-05-31,9.1254759,8.066218,9.540946,11.99971
"152",1991-06-01,8.9244181,7.7658,9.363467,12.045373
"153",1991-06-02,8.6427608,7.430024,9.093594,12.083969
"154",1991-06-03,8.3633576,7.092518,8.812636,12.299947
"155",1991-06-04,8.6987161,7.181559,9.19019,13.676706
"156",1991-06-05,9.3229745,7.556379,9.848749,15.335
"157",1991-06-06,9.6430068,7.789882,10.163217,16.054617
"158",1991-06-07,9.2257574,7.533425,9.693651,15.236799
"159",1991-06-08,8.5526291,7.065588,8.965539,14.043874
"160",1991-06-09,7.8446543,6.541487,8.210789,12.865611
"161",1991-06-10,7.1787687,6.026969,7.506631,11.797488
"162",1991-06-11,6.5736319,5.544585,6.869876,10.845952
"163",1991-06-12,6.0272961,5.098692,6.296835,9.995221
"164",1991-06-13,5.5327016,4.687736,5.779167,9.228073
"165",1991-06-14,5.0823169,4.308419,5.308437,8.529709
"166",1991-06-15,4.670061,3.957647,4.877976,7.889655
"167",1991-06-16,4.3082557,3.636909,4.502641,7.360494
